Command,PID,User,FD,Type,Device,Size/Off,Node,Name
init,1,root,exe,,,,,/init
init,1,root,0,,,,,/dev/__null__ (deleted)
init,1,root,1,,,,,/dev/__null__ (deleted)
init,1,root,2,,,,,/dev/__null__ (deleted)
init,1,root,3,,,,,/dev/__kmsg__ (deleted)
init,1,root,4,,,,,/dev/__properties__ (deleted)
init,1,root,5,,,,,/dev/keychord
init,1,root,6,,,,,socket:[4024]
init,1,root,7,,,,,socket:[4026]
init,1,root,8,,,,,socket:[4027]
init,1,root,mem,,0:01,0,2143,/init
init,1,root,mem,,0:01,98304,2143,/init
ueventd,104,root,exe,,,,,/init
ueventd,104,root,0,,,,,/dev/__null__ (deleted)
ueventd,104,root,1,,,,,/dev/__null__ (deleted)
ueventd,104,root,2,,,,,/dev/__null__ (deleted)
ueventd,104,root,3,,,,,/dev/__kmsg__ (deleted)
ueventd,104,root,4,,,,,socket:[3130]
ueventd,104,root,5,,,,,/dev/__properties__ (deleted)
ueventd,104,root,mem,,0:01,0,2143,/init
ueventd,104,root,mem,,0:01,98304,2143,/init
ueventd,104,root,mem,,00:0a,0,4406,/dev/__properties__
servicemanager,130,system,exe,,,,,/system/bin/servicemanager
servicemanager,130,system,0,,,,,/dev/null
servicemanager,130,system,1,,,,,/dev/null
servicemanager,130,system,2,,,,,/dev/null
servicemanager,130,system,3,,,,,/dev/binder
servicemanager,130,system,9,,,,,/dev/__properties__ (deleted)
servicemanager,130,system,mem,,b3:1d,0,8290,/system/bin/servicemanager
servicemanager,130,system,mem,,b3:1d,8192,8290,/system/bin/servicemanager
servicemanager,130,system,mem,,b3:1d,0,49401,/system/lib/libstdc++.so
servicemanager,130,system,mem,,b3:1d,0,49401,/system/lib/libstdc++.so
vold,131,root,exe,,,,,/system/bin/vold
vold,131,root,0,,,,,/dev/null
vold,131,root,1,,,,,/dev/null
vold,131,root,2,,,,,/dev/null
vold,131,root,3,,,,,/dev/log/main
vold,131,root,4,,,,,/dev/log/radio
vold,131,root,5,,,,,/dev/log/events
vold,131,root,6,,,,,/dev/log/system
vold,131,root,7,,,,,socket:[4535]
vold,131,root,8,,,,,pipe:[4536]
vold,131,root,9,,,,,/dev/__properties__ (deleted)
vold,131,root,10,,,,,socket:[4493]
vold,131,root,11,,,,,pipe:[4536]
vold,131,root,12,,,,,pipe:[4573]
vold,131,root,13,,,,,pipe:[4573]
vold,131,root,14,,,,,socket:[5100]
vold,131,root,mem,,b3:1d,0,8313,/system/bin/vold
vold,131,root,mem,,b3:1d,69632,8313,/system/bin/vold
vold,131,root,mem,,b3:1d,0,49263,/system/lib/libcutils.so
vold,131,root,mem,,b3:1d,57344,49263,/system/lib/libcutils.so
vold,131,root,mem,,b3:1d,61440,49263,/system/lib/libcutils.so
netd,132,root,exe,,,,,/system/bin/netd
netd,132,root,0,,,,,/dev/null
netd,132,root,1,,,,,/dev/null
netd,132,root,2,,,,,/dev/null
netd,132,root,3,,,,,/dev/log/main
netd,132,root,4,,,,,/dev/log/radio
netd,132,root,5,,,,,/dev/log/events
netd,132,root,6,,,,,/dev/log/system
netd,132,root,7,,,,,socket:[4532]
netd,132,root,8,,,,,socket:[4670]
netd,132,root,9,,,,,/dev/__properties__ (deleted)
netd,132,root,10,,,,,socket:[4078]
netd,132,root,11,,,,,socket:[4080]
netd,132,root,12,,,,,socket:[4082]
netd,132,root,13,,,,,pipe:[4671]
netd,132,root,14,,,,,pipe:[4671]
netd,132,root,15,,,,,socket:[4672]
netd,132,root,16,,,,,pipe:[4673]
netd,132,root,17,,,,,pipe:[4673]
netd,132,root,18,,,,,socket:[4674]
netd,132,root,19,,,,,pipe:[4675]
netd,132,root,20,,,,,pipe:[4675]
netd,132,root,21,,,,,pipe:[4676]
netd,132,root,22,,,,,pipe:[4676]
netd,132,root,23,,,,,socket:[4677]
netd,132,root,24,,,,,socket:[4678]
netd,132,root,25,,,,,pipe:[4679]
netd,132,root,26,,,,,pipe:[4679]
netd,132,root,27,,,,,pipe:[4680]
netd,132,root,28,,,,,pipe:[4680]
netd,132,root,29,,,,,socket:[5290]
netd,132,root,30,,,,,socket:[5107]
netd,132,root,mem,,b3:1d,0,8262,/system/bin/netd
netd,132,root,mem,,b3:1d,65536,8262,/system/bin/netd
netd,132,root,mem,,b3:1d,0,49319,/system/lib/liblog.so
netd,132,root,mem,,b3:1d,8192,49319,/system/lib/liblog.so
netd,132,root,mem,,b3:1d,12288,49319,/system/lib/liblog.so
netd,132,root,mem,,b3:1d,0,49407,/system/lib/libsysutils.so
debuggerd,133,root,exe,,,,,/system/bin/debuggerd
debuggerd,133,root,0,,,,,/dev/null
debuggerd,133,root,1,,,,,/dev/null
debuggerd,133,root,2,,,,,/dev/null
debuggerd,133,root,3,,,,,socket:[4528]
debuggerd,133,root,4,,,,,/dev/log/main
debuggerd,133,root,5,,,,,/dev/log/radio
debuggerd,133,root,6,,,,,/dev/log/events
debuggerd,133,root,7,,,,,/dev/log/system
debuggerd,133,root,9,,,,,/dev/__properties__ (deleted)
debuggerd,133,root,mem,,b3:1d,0,8216,/system/bin/debuggerd
debuggerd,133,root,mem,,b3:1d,20480,8216,/system/bin/debuggerd
debuggerd,133,root,mem,,b3:1d,0,49401,/system/lib/libstdc++.so
debuggerd,133,root,mem,,b3:1d,0,49401,/system/lib/libstdc++.so
rild,134,radio,exe,,,,,/system/bin/rild
rild,134,radio,0,,,,,/dev/null
rild,134,radio,1,,,,,/dev/null
rild,134,radio,2,,,,,/dev/null
rild,134,radio,3,,,,,/dev/diag
rild,134,radio,4,,,,,pipe:[5147]
rild,134,radio,5,,,,,pipe:[5147]
rild,134,radio,6,,,,,/dev/log/main
rild,134,radio,7,,,,,/dev/log/radio
rild,134,radio,8,,,,,/dev/log/events
rild,134,radio,9,,,,,/dev/__properties__ (deleted)
rild,134,radio,10,,,,,socket:[4074]
rild,134,radio,11,,,,,socket:[4076]
rild,134,radio,12,,,,,/dev/log/system
rild,134,radio,13,,,,,pipe:[4587]
rild,134,radio,14,,,,,pipe:[4587]
rild,134,radio,15,,,,,pipe:[4588]
rild,134,radio,16,,,,,pipe:[4588]
rild,134,radio,17,,,,,socket:[4589]
rild,134,radio,18,,,,,/dev/log/main
rild,134,radio,19,,,,,/dev/log/radio
rild,134,radio,20,,,,,/dev/log/events
rild,134,radio,21,,,,,/dev/log/system
rild,134,radio,22,,,,,socket:[5168]
rild,134,radio,23,,,,,/sys/power/wake_lock
rild,134,radio,24,,,,,/sys/power/wake_unlock
rild,134,radio,25,,,,,socket:[6699]
rild,134,radio,26,,,,,socket:[6727]
rild,134,radio,27,,,,,/dev/binder
rild,134,radio,mem,,b3:1d,0,8279,/system/bin/rild
rild,134,radio,mem,,b3:1d,8192,8279,/system/bin/rild
rild,134,radio,mem,,b3:1d,0,49348,/system/lib/libpbmlib.so
rild,134,radio,mem,,b3:1d,40960,49348,/system/lib/libpbmlib.so
rild,134,radio,mem,,b3:1d,0,8246,/system/bin/linker
rild,134,radio,mem,,b3:1d,73728,8246,/system/bin/linker
rild,134,radio,mem,,b3:1d,77824,8246,/system/bin/linker
surfaceflinger,135,system,exe,,,,,/system/bin/surfaceflinger
surfaceflinger,135,system,0,,,,,/dev/null
surfaceflinger,135,system,1,,,,,/dev/null
surfaceflinger,135,system,2,,,,,/dev/null
surfaceflinger,135,system,3,,,,,/dev/binder
surfaceflinger,135,system,4,,,,,/dev/log/main
surfaceflinger,135,system,5,,,,,/dev/log/radio
surfaceflinger,135,system,6,,,,,/dev/log/events
surfaceflinger,135,system,7,,,,,/dev/log/system
surfaceflinger,135,system,8,,,,,pipe:[5198]
surfaceflinger,135,system,9,,,,,/dev/__properties__ (deleted)
surfaceflinger,135,system,10,,,,,pipe:[5198]
surfaceflinger,135,system,11,,,,,anon_inode:[eventpoll]
surfaceflinger,135,system,12,,,,,/dev/cpuctl/apps/tasks
surfaceflinger,135,system,13,,,,,/dev/cpuctl/apps/bg_non_interactive/tasks
surfaceflinger,135,system,14,,,,,/dev/graphics/fb0
surfaceflinger,135,system,15,,,,,/dev/graphics/fb0
surfaceflinger,135,system,16,,,,,/dev/genlock
surfaceflinger,135,system,17,,,,,anon_inode:genlock
surfaceflinger,135,system,18,,,,,/dev/graphics/fb0
surfaceflinger,135,system,19,,,,,/dev/genlock
surfaceflinger,135,system,20,,,,,anon_inode:genlock
surfaceflinger,135,system,21,,,,,/dev/graphics/fb0
surfaceflinger,135,system,22,,,,,/dev/genlock
surfaceflinger,135,system,23,,,,,anon_inode:genlock
surfaceflinger,135,system,24,,,,,/dev/kgsl-3d0
surfaceflinger,135,system,25,,,,,/dev/kgsl-2d0
surfaceflinger,135,system,26,,,,,/dev/kgsl-2d1
surfaceflinger,135,system,27,,,,,/dev/log/main
surfaceflinger,135,system,28,,,,,/dev/log/radio
surfaceflinger,135,system,29,,,,,/dev/log/events
surfaceflinger,135,system,30,,,,,/dev/log/system
surfaceflinger,135,system,31,,,,,/dev/ashmem
surfaceflinger,135,system,32,,,,,socket:[5217]
surfaceflinger,135,system,33,,,,,socket:[5218]
surfaceflinger,135,system,34,,,,,/sys/power/wait_for_fb_wake
surfaceflinger,135,system,35,,,,,socket:[5223]
surfaceflinger,135,system,36,,,,,/dev/pmem
surfaceflinger,135,system,37,,,,,/dev/pmem
surfaceflinger,135,system,38,,,,,socket:[7860]
surfaceflinger,135,system,39,,,,,/dev/genlock
