PID,PPID,VSIZE,RSS,WCHAN,PC,Name,User,S,PTYPE
1,0,396,256,c014d360,0000e8fc,/init,root,S,proc,
2,0,0,0,c00ebe60,0,kthreadd,root,S,kproc,
3,2,0,0,c00d96e0,0,ksoftirqd/0,root,S,kproc,
5,2,0,0,c009f4ac,0,kworker/u:0,root,D,kproc,
6,2,0,0,c010af68,0,migration/0,root,S,kproc,
10,2,0,0,c00e8538,0,khelper,root,S,kproc,
11,2,0,0,c00e8538,0,suspend_sys_syn,root,S,kproc,
12,2,0,0,c00e8538,0,suspend,root,S,kproc,
13,2,0,0,c00e8538,0,perflock_wq,root,S,kproc,
14,2,0,0,c00e8538,0,htc_pm_monitor_,root,S,kproc,
15,2,0,0,c010c72c,0,irq/347-pm8901-,root,S,kproc,
16,2,0,0,c0124d4c,0,sync_supers,root,S,kproc,
17,2,0,0,c0125a48,0,bdi-default,root,S,kproc,
18,2,0,0,c00e8538,0,kblockd,root,S,kproc,
19,2,0,0,c02be57c,0,khubd,root,S,kproc,
20,2,0,0,c00e8538,0,l2cap,root,S,kproc,
21,2,0,0,c00e8538,0,a2mp,root,S,kproc,
22,2,0,0,c00e8358,0,kworker/0:1,root,S,kproc,
23,2,0,0,c00e8538,0,cfg80211,root,S,kproc,
24,2,0,0,c00e8538,0,tty_smd0,root,S,kproc,
25,2,0,0,c010c72c,0,irq/505-pm8058_,root,S,kproc,
26,2,0,0,c00e8538,0,tps65200,root,S,kproc,
27,2,0,0,c00e8538,0,iewq,root,S,kproc,
28,2,0,0,c00e8538,0,modem_notifier,root,S,kproc,
29,2,0,0,c00e8538,0,smd_channel_clo,root,S,kproc,
30,2,0,0,c00e8538,0,rpcrouter,root,S,kproc,
31,2,0,0,c00e8538,0,apr_driver,root,S,kproc,
32,2,0,0,c00e8538,0,sdio_tty,root,S,kproc,
34,2,0,0,c00e8538,0,charm_queue,root,S,kproc,
35,2,0,0,c010c72c,0,irq/390-charm s,root,S,kproc,
36,2,0,0,c00e8538,0,detect,root,S,kproc,
37,2,0,0,c00e8538,0,button,root,S,kproc,
38,2,0,0,c00e8538,0,HS_PMIC_DETECT,root,S,kproc,
39,2,0,0,c00e8538,0,HS_PMIC_BUTTON,root,S,kproc,
40,2,0,0,c00e8538,0,HS_8X60_BUTTON,root,S,kproc,
41,2,0,0,c00e8538,0,HS_GPIO_DETECT,root,S,kproc,
42,2,0,0,c00e8538,0,HS_GPIO_BUTTON,root,S,kproc,
43,2,0,0,c00e8538,0,rmt_storage,root,S,kproc,
44,2,0,0,c011f69c,0,kswapd0,root,S,kproc,
45,2,0,0,c016ce54,0,fsnotify_mark,root,S,kproc,
46,2,0,0,c00e8538,0,crypto,root,S,kproc,
59,2,0,0,c00e8538,0,mdp_dma_wq,root,S,kproc,
