PID,Name,Path
180,svchost.exe,C:\WINDOWS\system32\svchost.exe
180,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
180,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
180,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
180,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
180,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
180,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
180,USER32.dll,C:\WINDOWS\system32\USER32.dll
180,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
180,WINMM.dll,C:\WINDOWS\system32\WINMM.dll
180,ole32.dll,C:\WINDOWS\system32\ole32.dll
180,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
180,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
180,MSACM32.dll,C:\WINDOWS\system32\MSACM32.dll
180,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
180,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
180,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
180,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
180,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
180,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
180,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
180,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
180,bthserv.dll,c:\windows\system32\bthserv.dll
180,SETUPAPI.dll,c:\windows\system32\SETUPAPI.dll
180,WINTRUST.dll,C:\WINDOWS\system32\WINTRUST.dll
180,CRYPT32.dll,C:\WINDOWS\system32\CRYPT32.dll
180,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
180,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
180,msv1_0.dll,C:\WINDOWS\system32\msv1_0.dll
180,cryptdll.dll,C:\WINDOWS\system32\cryptdll.dll
