Offset,Name,PID,PPID,Thds,Hnds,Sess,Wow64,Start,Exit
0x825c8830,System,4,0,60,279,------,0,,,
0x820539a8,smss.exe,552,4,3,19,------,0,4/17/2014 11:40:56,UTC+0000
0x824722b8,csrss.exe,616,552,12,497,0,0,4/17/2014 11:40:59,UTC+0000
0x820a8020,winlogon.exe,640,552,19,515,0,0,4/17/2014 11:41:00,UTC+0000
0x81f90b10,services.exe,684,640,15,276,0,0,4/17/2014 11:41:01,UTC+0000
0x822e3ca8,lsass.exe,696,640,22,360,0,0,4/17/2014 11:41:01,UTC+0000
0x8201f250,vmacthlp.exe,852,684,1,38,0,0,4/17/2014 11:41:02,UTC+0000
0x82017550,svchost.exe,880,684,17,198,0,0,4/17/2014 11:41:02,UTC+0000
0x822d8228,svchost.exe,972,684,11,283,0,0,4/17/2014 11:41:03,UTC+0000
0x81fb1ca8,svchost.exe,1096,684,78,1768,0,0,4/17/2014 11:41:03,UTC+0000
0x8236bda0,svchost.exe,1184,684,6,86,0,0,4/17/2014 11:41:04,UTC+0000
0x8232ca20,svchost.exe,1332,684,11,164,0,0,4/17/2014 11:41:04,UTC+0000
0x8206cda0,explorer.exe,1512,1440,13,586,0,0,4/17/2014 11:41:05,UTC+0000
0x8248d3c8,spoolsv.exe,1652,684,10,138,0,0,4/17/2014 11:41:06,UTC+0000
0x8206a998,rundll32.exe,1860,1512,4,76,0,0,4/17/2014 11:41:08,UTC+0000
0x82044190,vmtoolsd.exe,1868,1512,3,179,0,0,4/17/2014 11:41:08,UTC+0000
0x82044be0,ctfmon.exe,1876,1512,1,79,0,0,4/17/2014 11:41:09,UTC+0000
0x8238cc10,msmsgs.exe,1884,1512,2,189,0,0,4/17/2014 11:41:09,UTC+0000
0x81fa8da0,svchost.exe,2024,684,4,105,0,0,4/17/2014 11:41:22,UTC+0000
0x81fa32c8,svchost.exe,180,684,3,78,0,0,4/17/2014 11:41:22,UTC+0000
0x82308da0,vmtoolsd.exe,304,684,7,306,0,0,4/17/2014 11:41:23,UTC+0000
0x821835f0,wscntfy.exe,1328,1096,1,39,0,0,4/17/2014 11:41:33,UTC+0000
0x82185768,alg.exe,268,684,6,104,0,0,4/17/2014 11:41:34,UTC+0000
0x81eaa020,chrome.exe,540,2532,38,825,0,0,4/17/2014 11:47:27,UTC+0000
0x8250c020,chrome.exe,2104,540,8,152,0,0,4/17/2014 11:48:39,UTC+0000
0x8240e988,chrome.exe,2428,540,40,523,0,0,4/17/2014 11:48:47,UTC+0000
0x822decc8,chrome.exe,3588,540,12,413,0,0,4/17/2014 11:49:26,UTC+0000
0x8216a020,msiexec.exe,2944,684,8,304,0,0,4/17/2014 11:51:45,UTC+0000
0x81eb7020,chrome.exe,2136,540,8,173,0,0,4/17/2014 11:57:44,UTC+0000
0x824ea020,cmd.exe,2876,1512,1,33,0,0,4/17/2014 12:03:06,UTC+0000
0x82181020,win32dd.exe,3744,2876,1,22,0,0,4/17/2014 12:05:12,UTC+0000
