PID,Name,Path
0,sol.exe,C:\Documents and Settings\Administrator\My Documents\sol.exe
0,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
0,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
0,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
0,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
0,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
0,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
0,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
0,USER32.dll,C:\WINDOWS\system32\USER32.dll
0,CARDS.dll,C:\WINDOWS\system32\CARDS.dll
0,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
0,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
0,COMCTL32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\COMCTL32.dll
0,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
0,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
0,WINMM.dll,C:\WINDOWS\system32\WINMM.dll
0,ole32.dll,C:\WINDOWS\system32\ole32.dll
0,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
0,MSACM32.dll,C:\WINDOWS\system32\MSACM32.dll
0,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
0,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
0,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
0,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
0,MSCTF.dll,C:\WINDOWS\system32\MSCTF.dll
0,msctfime.ime,C:\WINDOWS\system32\msctfime.ime
164,svchost.exe,C:\WINDOWS\system32\svchost.exe
164,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
164,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
164,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
164,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
164,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
164,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
164,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
164,USER32.dll,C:\WINDOWS\system32\USER32.dll
164,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
164,WINMM.dll,C:\WINDOWS\system32\WINMM.dll
164,ole32.dll,C:\WINDOWS\system32\ole32.dll
164,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
164,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
164,MSACM32.dll,C:\WINDOWS\system32\MSACM32.dll
164,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
164,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
164,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
164,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
164,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
164,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
164,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
164,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
164,bthserv.dll,c:\windows\system32\bthserv.dll
164,SETUPAPI.dll,c:\windows\system32\SETUPAPI.dll
164,WINTRUST.dll,C:\WINDOWS\system32\WINTRUST.dll
164,CRYPT32.dll,C:\WINDOWS\system32\CRYPT32.dll
164,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
164,IMAGEHLP.dll,C:\WINDOWS\system32\IMAGEHLP.dll
164,msv1_0.dll,C:\WINDOWS\system32\msv1_0.dll
164,cryptdll.dll,C:\WINDOWS\system32\cryptdll.dll
164,iphlpapi.dll,C:\WINDOWS\system32\iphlpapi.dll
164,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
164,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
