Offset,Name,PID,PPID,Thds,Hnds,Sess,Wow64,Start,Exit
0x825c8830,System,4,0,58,256,------,0,,
0x82396da0,smss.exe,544,4,3,19,------,0,2014-04-17 12:22:36 UTC+0000,
0x82433550,csrss.exe,616,544,11,358,0,0,2014-04-17 12:22:39 UTC+0000,
0x82435020,winlogon.exe,640,544,18,514,0,0,2014-04-17 12:22:40 UTC+0000,
0x8204d880,services.exe,684,640,15,272,0,0,2014-04-17 12:22:40 UTC+0000,
0x82428880,lsass.exe,696,640,22,349,0,0,2014-04-17 12:22:40 UTC+0000,
0x820d9020,vmacthlp.exe,852,684,1,25,0,0,2014-04-17 12:22:41 UTC+0000,
0x8203dda0,svchost.exe,880,684,17,197,0,0,2014-04-17 12:22:42 UTC+0000,
0x82335580,svchost.exe,948,684,11,270,0,0,2014-04-17 12:22:42 UTC+0000,
0x8251ada0,svchost.exe,1080,684,59,1424,0,0,2014-04-17 12:22:43 UTC+0000,
0x824297f0,svchost.exe,1180,684,4,60,0,0,2014-04-17 12:22:44 UTC+0000,
0x820d9b58,svchost.exe,1208,684,13,170,0,0,2014-04-17 12:22:44 UTC+0000,
0x823397e8,explorer.exe,1472,1412,13,379,0,0,2014-04-17 12:22:45 UTC+0000,
0x82432980,spoolsv.exe,1612,684,10,138,0,0,2014-04-17 12:22:46 UTC+0000,
0x82071300,rundll32.exe,1860,1472,4,76,0,0,2014-04-17 12:22:49 UTC+0000,
0x821fc980,vmtoolsd.exe,1868,1472,3,138,0,0,2014-04-17 12:22:49 UTC+0000,
0x822b1da0,ctfmon.exe,1888,1472,1,78,0,0,2014-04-17 12:22:49 UTC+0000,
0x82257020,msmsgs.exe,1896,1472,2,184,0,0,2014-04-17 12:22:50 UTC+0000,
0x8209c020,svchost.exe,180,684,4,106,0,0,2014-04-17 12:23:03 UTC+0000,
0x824954d8,svchost.exe,164,684,3,78,0,0,2014-04-17 12:23:03 UTC+0000,
0x820ca2c8,vmtoolsd.exe,476,684,7,306,0,0,2014-04-17 12:23:04 UTC+0000,
0x8226e368,alg.exe,1704,684,6,105,0,0,2014-04-17 12:23:17 UTC+0000,
0x82425560,wscntfy.exe,1364,1080,1,39,0,0,2014-04-17 12:23:17 UTC+0000,
0x8208d020,cmd.exe,316,1472,1,33,0,0,2014-04-17 12:30:21 UTC+0000,
0x82277c10,wmiprvse.exe,904,880,7,139,0,0,2014-04-17 12:37:40 UTC+0000,
0x82201620,win32dd.exe,800,316,1,22,0,0,2014-04-17 12:38:24 UTC+0000,
