Offset,LocalAddress,RemoteAddress,PID
0x82085160,127.0.0.1:1661,127.0.0.1:1662,3948
0x820af170,127.0.0.1:1662,127.0.0.1:1661,3948
0x82367008,192.168.78.128:1778,31.13.69.176:443,3948
0x81e8f630,192.168.78.128:1784,74.125.228.103:443,3948
0x8216f640,192.168.78.128:1727,74.125.228.89:80,3948
0x824bda58,192.168.78.128:2089,184.51.126.107:80,2716
0x8216b2d8,192.168.78.128:1925,74.125.22.84:443,3948
0x8215e3b8,192.168.78.128:2106,74.125.228.69:443,3948
0x8246d808,192.168.78.128:2101,74.125.228.90:80,3948
0x81ee76a8,192.168.78.128:1758,23.23.211.191:80,3948
0x824ecae8,192.168.78.128:1951,74.121.136.233:80,3948
