Offset,PID,Handle,Access,Type,Details
0x825c8830,4,0x4,0x1f0fff,Process,System(4)
0x825c7020,4,0x8,0x0,Thread,TID 12 PID 4
0xe1458688,4,0xc,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe1011490,4,0x10,0x0,Key,
0xe14673a0,4,0x14,0x2001f,Key,MACHINE\SYSTEM\SETUP
0xe100a6d0,4,0x18,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe1459168,4,0x1c,0x20019,Key,MACHINE\SYSTEM\WPA\MEDIACENTER
0xe1466430,4,0x20,0x20019,Key,MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
0xe145c400,4,0x24,0x20019,Key,MACHINE\SYSTEM\WPA\PNP
0xe1465610,4,0x28,0x20019,Key,
0xe145fb30,4,0x2c,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xe1459798,4,0x30,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
0x825c1628,4,0x34,0x1f0003,Event,TRKWKS_EVENT
0x82078d38,4,0x88,0x120116,File,\Device\HarddiskVolume1\System Volume Information\_restore{F534E9BC-1B8A-47AD-A6A4-FF67FAAEB8FA}\RP34\change.log
0x8248c2b0,4,0x8c,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\software
0xe153f658,4,0x94,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\INITIATOR ID 255
0x825e2020,4,0x98,0x1f03ff,Thread,TID 96 PID 4
0xe1035248,4,0x9c,0x20019,Key,PARAMETERS
0x82337828,4,0xa4,0x1f03ff,Thread,TID 112 PID 4
0xe1562880,4,0xa8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2
0x820a3020,4,0xac,0x0,Thread,TID 104 PID 4
0x820a3808,4,0xb0,0x1f03ff,Thread,TID 108 PID 4
0x825af410,4,0xb4,0x1f0003,Event,VxKernel2VoldEvent
0xe155ea48,4,0xb8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI
0xe1475658,4,0xbc,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0xe1505580,4,0xc0,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0
0xe1475120,4,0xc4,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0\LOGICAL UNIT ID 0
0xe156fb48,4,0xd4,0xf000f,Directory,WinDfs
0xe1562da8,4,0xdc,0xf000f,Directory,Harddisk0
0x82521f90,4,0x108,0x12019f,File,\Device\NTPNP_PCI0042\Wave
0x82145848,4,0x328,0x12019f,File,\Device\Tcp
0x82386840,4,0x330,0x12019f,File,\Device\Tcp
0x8249cc88,4,0x3bc,0x12019f,File,\Device\KSENUM#0000000c\{9B365890-165F-11D0-A195-0020AFD156E4}
0x82189a90,4,0x484,0x12019f,File,\Device\Tcp
0x823ae7b0,4,0x4a0,0x12019f,File,\Device\Tcp
0x82411ae0,4,0x4ac,0x120116,File,\Device\NTPNP_PCI0042{146F1A80-4791-11D0-A5D6-28DB04C10000}\???????
0x820023d8,4,0x4c0,0x1f01ff,File,\Device\Tcp
0x82142028,4,0x4e0,0x12019f,File,\Device\Tcp
0x8238d2d0,4,0x4f4,0x1f01ff,File,\Device\Tcp
0x81fb3a58,4,0x500,0x120116,File,\Device\KSENUM#0000000c{146F1A80-4791-11D0-A5D6-28DB04C10000}\???????
0x824851f0,4,0x520,0x1f01ff,File,\Device\Tcp
0x820318a8,4,0x58c,0x1f01ff,File,\Device\Tcp
0x82138800,4,0x5cc,0x1f01ff,File,\Device\Tcp
0x81f9a838,4,0x604,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x823868d8,4,0x608,0x12019f,File,\Device\Tcp
0xe18db448,4,0x60c,0x1f0001,Port,SeRmCommandPort
0x82158278,4,0x618,0x1f01ff,File,\Device\Tcp
0xe194f1b8,4,0x61c,0x1f0001,Port,
0x822e3ca8,4,0x620,0x438,Process,lsass.exe(696)
0x82522cc8,4,0x624,0x140003,File,\Device\HarddiskVolume1\pagefile.sys
0x8200bbd8,4,0x628,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
0x82520bd8,4,0x62c,0x100003,Event,
0x822e3ca8,4,0x630,0x28,Process,lsass.exe(696)
0x82449b68,4,0x634,0xf0003,Desktop,Disconnect
0x82373c28,4,0x638,0x120116,File,\Device\Mup
0x82385eb8,4,0x63c,0x120089,File,\Device\Tcp
0x8202cc28,4,0x640,0x20,File,\Device\hgfs
0x8252eee0,4,0x644,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
0x823602f0,4,0x648,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
0x8252e808,4,0x650,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
0x8249ff28,4,0x654,0x12019f,File,\Device\Udp
0x8234bf28,4,0x658,0x12019f,File,\Device\Tcp
0x8234d2c0,4,0x65c,0x12019f,File,\Device\Gpc
0x8234bb00,4,0x660,0x12019f,File,\Device\Gpc
0x82446328,4,0x664,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x8234c028,4,0x668,0x12019f,File,\Device\Tcp
0x82459ef0,4,0x66c,0x1f0003,Event,StuckThreadEvent
0x82525980,4,0x670,0x1f03ff,Thread,TID 348 PID 4
0xe193e1a8,4,0x674,0x1f0001,Port,
0x8234b4d8,4,0x680,0x12019f,File,\Device\Tcp
0xe18d3430,4,0x698,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526-22B2-4341-952A-B341608F71F8}\0000\VOLATILESETTINGS
0xe1568438,4,0x6a4,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526-22B2-4341-952A-B341608F71F8}\0001\VOLATILESETTINGS
0x8205b420,4,0x6a8,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x824c5e88,4,0x6ac,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\system
0x8202d028,4,0x6b0,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
0xe188cd58,4,0x6b4,0x2,Key,MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x8237d130,4,0x6b8,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\default
0x8237c028,4,0x6bc,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0xe18cbc40,4,0x6c0,0x4,Directory,WindowStations
0x822f97e8,4,0x6c4,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM
0x822f6c60,4,0x6c8,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
