PID,Name,Path
304,vmtoolsd.exe,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
304,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
304,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
304,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
304,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
304,ole32.dll,C:\WINDOWS\system32\ole32.dll
304,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
304,USER32.dll,C:\WINDOWS\system32\USER32.dll
304,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
304,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
304,MSVCR90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCR90.dll
304,intl.dll,C:\Program Files\VMware\VMware Tools\intl.dll
304,iconv.dll,C:\Program Files\VMware\VMware Tools\iconv.dll
304,glib-2.0.dll,C:\Program Files\VMware\VMware Tools\glib-2.0.dll
304,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
304,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
304,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
304,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
304,gmodule-2.0.dll,C:\Program Files\VMware\VMware Tools\gmodule-2.0.dll
304,gobject-2.0.dll,C:\Program Files\VMware\VMware Tools\gobject-2.0.dll
304,gthread-2.0.dll,C:\Program Files\VMware\VMware Tools\gthread-2.0.dll
304,vmtools.dll,C:\Program Files\VMware\VMware Tools\vmtools.dll
304,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
304,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
304,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
304,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
304,IpHlpApi.dll,C:\WINDOWS\system32\IpHlpApi.dll
304,NTMARTA.DLL,C:\WINDOWS\system32\NTMARTA.DLL
304,SAMLIB.dll,C:\WINDOWS\system32\SAMLIB.dll
304,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
304,hgfsServer.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsServer.dll
304,hgfs.dll,C:\Program Files\VMware\VMware Tools\hgfs.dll
304,MPR.dll,C:\WINDOWS\system32\MPR.dll
304,hgfsUsability.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll
304,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
304,vix.dll,C:\Program Files\VMware\VMware Tools\plugins\common\vix.dll
304,autoLogon.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll
304,MSVCP90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCP90.dll
304,autoUpgrade.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoUpgrade.dll
304,WTSAPI32.dll,C:\WINDOWS\system32\WTSAPI32.dll
304,WINSTA.dll,C:\WINDOWS\system32\WINSTA.dll
304,NETAPI32.dll,C:\WINDOWS\system32\NETAPI32.dll
304,bitMapper.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\bitMapper.dll
696,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
696,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
696,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
696,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
696,LSASRV.dll,C:\WINDOWS\system32\LSASRV.dll
696,MPR.dll,C:\WINDOWS\system32\MPR.dll
696,USER32.dll,C:\WINDOWS\system32\USER32.dll
696,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
696,MSASN1.dll,C:\WINDOWS\system32\MSASN1.dll
696,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
696,NETAPI32.dll,C:\WINDOWS\system32\NETAPI32.dll
696,NTDSAPI.dll,C:\WINDOWS\system32\NTDSAPI.dll
696,DNSAPI.dll,C:\WINDOWS\system32\DNSAPI.dll
696,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
696,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
696,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
696,SAMLIB.dll,C:\WINDOWS\system32\SAMLIB.dll
696,SAMSRV.dll,C:\WINDOWS\system32\SAMSRV.dll
