Offset,PID,Port,Proto,Protocol,Address,CreateTime
0x81f937a8,4,0,47,GRE,0.0.0.0,2014-04-17 11:42:37 UTC+0000
0x822fa488,3948,1778,6,TCP,0.0.0.0,2014-04-17 12:14:47 UTC+0000
0x81f93ad8,4,1030,6,TCP,0.0.0.0,2014-04-17 11:42:37 UTC+0000
0x81fd1130,696,500,17,UDP,0.0.0.0,2014-04-17 11:41:23 UTC+0000
0x820586d0,3948,1662,6,TCP,0.0.0.0,2014-04-17 12:14:13 UTC+0000
0x82304c90,4,137,17,UDP,192.168.78.128,2014-04-17 11:41:07 UTC+0000
0x824d6808,268,1028,6,TCP,127.0.0.1,2014-04-17 11:41:34 UTC+0000
0x81fca5f8,4,445,6,TCP,0.0.0.0,2014-04-17 11:40:53 UTC+0000
0x8237e3b8,972,135,6,TCP,0.0.0.0,2014-04-17 11:41:03 UTC+0000
0x8246d168,2716,2089,6,TCP,0.0.0.0,2014-04-17 12:16:47 UTC+0000
0x8239c3e8,3948,2101,6,TCP,0.0.0.0,2014-04-17 12:16:50 UTC+0000
0x8248bb70,4,138,17,UDP,192.168.78.128,2014-04-17 11:41:07 UTC+0000
0x82376250,1096,123,17,UDP,127.0.0.1,2014-04-17 11:41:31 UTC+0000
0x824274d0,3948,1661,6,TCP,127.0.0.1,2014-04-17 12:14:13 UTC+0000
0x8243a9a8,696,0,255,Reserved,0.0.0.0,2014-04-17 11:41:23 UTC+0000
0x824313f0,1096,123,17,UDP,192.168.78.128,2014-04-17 11:41:31 UTC+0000
0x8203be98,3948,1784,6,TCP,0.0.0.0,2014-04-17 12:14:49 UTC+0000
0x820889f8,3948,2106,6,TCP,0.0.0.0,2014-04-17 12:16:51 UTC+0000
0x82189b08,3948,1951,6,TCP,0.0.0.0,2014-04-17 12:15:28 UTC+0000
0x820358b8,1332,1900,17,UDP,127.0.0.1,2014-04-17 11:41:33 UTC+0000
0x81fa2650,696,4500,17,UDP,0.0.0.0,2014-04-17 11:41:23 UTC+0000
0x8209b808,1332,1900,17,UDP,192.168.78.128,2014-04-17 11:41:33 UTC+0000
0x8212c680,3948,1727,6,TCP,0.0.0.0,2014-04-17 12:14:39 UTC+0000
0x82146750,3948,1758,6,TCP,0.0.0.0,2014-04-17 12:14:44 UTC+0000
0x81fca840,4,445,17,UDP,0.0.0.0,2014-04-17 11:40:53 UTC+0000
0x82304768,4,139,6,TCP,192.168.78.128,2014-04-17 11:41:07 UTC+0000
0x8242dd08,3948,1925,6,TCP,0.0.0.0,2014-04-17 12:15:25 UTC+0000
