Offset,LocalAddress,RemoteAddress,PID
0x821ba628,10.1.0.2:1633,74.125.29.95:80,3232
0x824f7600,10.1.0.2:1667,54.230.38.207:80,3232
0x81f01710,10.1.0.2:1689,67.131.38.41:80,3232
0x81f68e68,10.1.0.2:1721,67.131.38.35:80,3232
0x81f71be8,10.1.0.2:1729,67.131.38.41:80,3232
0x820c95c0,10.1.0.2:1693,67.131.38.25:80,3232
0x820eb880,10.1.0.2:1725,67.131.38.18:80,3232
0x820d1ab0,10.1.0.2:1734,74.125.228.207:80,3232
0x820f3600,10.1.0.2:1675,74.125.228.111:443,3232
0x8222acf8,10.1.0.2:1666,74.125.228.111:80,3232
0x823e0de8,10.1.0.2:1578,74.125.228.121:80,3232
0x823b98d0,10.1.0.2:1510,31.13.71.49:443,3232
0x82441660,10.1.0.2:1737,23.23.141.214:443,3232
0x820d8420,10.1.0.2:1536,2.17.154.156:80,3232
0x81f84b90,10.1.0.2:1686,173.194.70.120:80,3232
0x823ba008,10.1.0.2:1664,8.18.45.80:80,3232
0x82208240,10.1.0.2:1520,96.7.138.156:80,3232
0x81f40598,10.1.0.2:1655,74.125.22.84:443,3232
0x820dc008,10.1.0.2:1610,74.125.29.95:80,3232
0x82395460,10.1.0.2:1730,67.131.38.41:80,3232
0x823b24a0,10.1.0.2:1663,64.156.167.95:443,3232
0x81f828a8,10.1.0.2:1575,74.125.228.121:80,3232
0x820c99e8,10.1.0.2:1611,74.125.228.204:80,3232
0x8221ce68,10.1.0.2:1648,74.125.228.194:443,3232
0x823a3c98,10.1.0.2:1739,74.125.228.207:80,3232
0x81f32500,10.1.0.2:1691,184.27.185.13:80,3232
0x823af008,10.1.0.2:1587,54.235.254.18:80,3232
0x81eeb710,10.1.0.2:1710,50.16.210.70:80,3232
0x820c5600,10.1.0.2:1673,74.121.136.104:80,3232
0x823aa880,10.1.0.2:1679,23.0.165.32:80,3232
0x81f0fe68,10.1.0.2:1687,67.131.38.26:80,3232
0x820eb6e0,10.1.0.2:1727,67.131.38.41:80,3232
0x820f2cd0,10.1.0.2:1723,67.131.38.35:80,3232
0x81f6c718,10.1.0.2:1593,74.125.228.218:443,3232
0x820374b8,10.1.0.2:1669,74.125.228.202:443,3232
0x82227388,10.1.0.2:1589,74.125.228.212:443,3232
0x822295a8,10.1.0.2:1684,74.125.228.124:80,3232
0x820f8008,10.1.0.2:1703,173.241.244.7:80,3232
0x823e0438,10.1.0.2:1511,31.13.71.49:80,3232
0x81effe68,10.1.0.2:1588,54.235.254.18:80,3232
0x81f68380,10.1.0.2:1732,54.241.4.175:80,3232
0x82507330,10.1.0.2:1624,23.0.165.32:80,3232
0x820ecb30,10.1.0.2:1718,91.103.140.6:80,3232
0x82218428,10.1.0.2:1704,69.25.24.24:80,3232
0x81f84e68,10.1.0.2:1728,67.131.38.41:80,3232
0x81ef2ab8,10.1.0.2:1682,74.125.228.122:443,3232
0x81f8b610,10.1.0.2:1670,74.125.228.111:443,3232
0x82360a58,10.1.0.2:1561,74.125.228.122:80,3232
0x823be720,10.1.0.2:1573,74.125.228.217:80,3232
0x824c2480,10.1.0.2:1733,74.125.228.207:80,3232
0x8251b008,10.1.0.2:1562,74.125.228.194:443,3232
0x81f066e0,10.1.0.2:1711,2.17.147.167:80,3232
0x8241a348,10.1.0.2:1535,2.17.154.156:80,3232
0x823b1c60,10.1.0.2:1698,72.21.195.33:80,3232
0x81f4e780,10.1.0.2:1705,54.85.15.171:80,3232
0x81efe880,10.1.0.2:1712,74.217.78.158:80,3232
0x81f6b008,10.1.0.2:1735,96.7.138.156:80,3232
0x820f5008,10.1.0.2:1537,74.125.22.154:80,3232
