Offset,PID,Handle,Access,Type,Details
0x825c8830,4,0x4,0x1f0fff,Process,System(4)
0x825c7020,4,0x8,0x0,Thread,TID 12 PID 4
0xe146a688,4,0xc,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe1011490,4,0x10,0x0,Key,
0xe14793a0,4,0x14,0x2001f,Key,MACHINE\SYSTEM\SETUP
0xe100a6d0,4,0x18,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe146b168,4,0x1c,0x20019,Key,MACHINE\SYSTEM\WPA\MEDIACENTER
0xe1478430,4,0x20,0x20019,Key,MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
0xe146e400,4,0x24,0x20019,Key,MACHINE\SYSTEM\WPA\PNP
0xe1477610,4,0x28,0x20019,Key,MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
0xe1471b30,4,0x2c,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xe146b798,4,0x30,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
0x825c1628,4,0x34,0x1f0003,Event,TRKWKS_EVENT
0x82037d00,4,0x90,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
0x825ea160,4,0x94,0x1f0003,Event,VxKernel2VoldEvent
0x825e2ca8,4,0x98,0x1f03ff,Thread,TID 96 PID 4
0xe1011b30,4,0x9c,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETERS
0x825e1b98,4,0xa0,0x0,Thread,TID 104 PID 4
0xe15688e8,4,0xac,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0xe1562738,4,0xb0,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI
0x825e0380,4,0xb4,0x1f03ff,Thread,TID 112 PID 4
0xe156f730,4,0xb8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2
0xe15621e0,4,0xbc,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\INITIATOR ID 255
0x825e1380,4,0xc0,0x1f03ff,Thread,TID 108 PID 4
0xe157f560,4,0xc4,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0\LOGICAL UNIT ID 0
0xe15379e8,4,0xc8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0
0xe156ce50,4,0xcc,0xf000f,Directory,WinDfs
0xe156c8c8,4,0xdc,0xf000f,Directory,Harddisk0
0x81f8a380,4,0x380,0x12019f,File,\Device\Tcp
0x81f100d0,4,0x384,0x12019f,File,\Device\Tcp
0x81f30140,4,0x388,0x1f01ff,File,\Device\Tcp
0x81f1b3c8,4,0x394,0x12019f,File,\Device\Tcp
0x820f8c28,4,0x398,0x1f01ff,File,\Device\Tcp
0x82103b58,4,0x3a0,0x12019f,File,\Device\Tcp
0x81f10028,4,0x3a8,0x1f01ff,File,\Device\Tcp
0x823a3530,4,0x3b4,0x12019f,File,\Device\Tcp
0x8222a698,4,0x3b8,0x1f01ff,File,\Device\Tcp
0x81f44c70,4,0x3bc,0x1f01ff,File,\Device\Tcp
0x82103ed0,4,0x3c0,0x12019f,File,\Device\Tcp
0x820f8458,4,0x3c4,0x12019f,File,\Device\Tcp
0x81f82c18,4,0x3c8,0x1f01ff,File,\Device\Tcp
0x820e4560,4,0x3cc,0x1f01ff,File,\Device\Tcp
0x820e1838,4,0x3e0,0x12019f,File,\Device\Tcp
0x8238bd58,4,0x3e4,0x1f01ff,File,\Device\Tcp
0x820c8908,4,0x3e8,0x12019f,File,\Device\Tcp
0x81f34668,4,0x3fc,0x12019f,File,\Device\Tcp
0x82103710,4,0x400,0x1f01ff,File,\Device\Tcp
0x8223c328,4,0x404,0x1f01ff,File,\Device\Tcp
0x824ca190,4,0x414,0x12019f,File,\Device\Tcp
0x82385450,4,0x418,0x1f01ff,File,\Device\Udp
0x82519190,4,0x420,0x1f01ff,File,\Device\Tcp
0x81fd4428,4,0x424,0x1f01ff,File,\Device\Tcp
0x81f6abf8,4,0x42c,0x1f01ff,File,\Device\Tcp
0x821b50a0,4,0x438,0x1f01ff,File,\Device\Tcp
0x824f5ef8,4,0x444,0x1f01ff,File,\Device\Tcp
0x82208b20,4,0x44c,0x1f01ff,File,\Device\Tcp
0x81f1b330,4,0x450,0x1f01ff,File,\Device\Tcp
0x820de500,4,0x458,0x1f01ff,File,\Device\Tcp
0x81f71658,4,0x45c,0x1f01ff,File,\Device\Tcp
0x824b8708,4,0x460,0x12019f,File,\Device\Tcp
0x824b2b58,4,0x464,0x12019f,File,\Device\Tcp
0x82509380,4,0x46c,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x820e12e0,4,0x470,0x1f01ff,File,\Device\Tcp
0x823224a8,4,0x484,0x180,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x821c1f90,4,0x490,0x12019f,File,\Device\Tcp
0x823cf8e8,4,0x494,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x823b7870,4,0x4a0,0x12019f,File,\Device\Tcp
0x820cbd10,4,0x4a4,0x12019f,File,\Device\Tcp
0x82488028,4,0x4a8,0x1f01ff,File,\Device\Tcp
0x82034720,4,0x4ac,0x12019f,File,\Device\Tcp
0x821d9028,4,0x4b0,0x12019f,File,\Device\Tcp
0x81f89430,4,0x4b4,0x1f01ff,File,\Device\Tcp
0x824c0230,4,0x4c0,0x1f01ff,File,\Device\Tcp
0x81f70890,4,0x4c4,0x1f01ff,File,\Device\Tcp
0x82405650,4,0x4d8,0x12019f,File,\Device\Tcp
0x8249b7f0,4,0x4dc,0x1f01ff,File,\Device\Tcp
0x824b8998,4,0x4e0,0x1f01ff,File,\Device\Tcp
0x81f2ae78,4,0x4ec,0x12019f,File,\Device\Tcp
0x8208be88,4,0x500,0x12019f,File,\Device\Tcp
0x82519d58,4,0x504,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x820ea618,4,0x510,0x1f01ff,File,\Device\Tcp
0x81f4eda0,4,0x518,0x12019f,File,\Device\Tcp
0x823a3290,4,0x51c,0x12019f,File,\Device\Tcp
0x81f6c298,4,0x524,0x1f01ff,File,\Device\Tcp
0x82208a88,4,0x534,0x12019f,File,\Device\Tcp
0x8238c480,4,0x538,0x12019f,File,\Device\Tcp
0x824aa600,4,0x544,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x81ee9378,4,0x554,0x12019f,File,\Device\Tcp
0x8238b7b8,4,0x55c,0x12019f,File,\Device\Tcp
0x823d4cb8,4,0x560,0x12019f,File,\Device\Tcp
0x8247f518,4,0x568,0x12019f,File,\Device\Tcp
0x820da6d8,4,0x570,0x1f01ff,File,\Device\Tcp
0x820cae20,4,0x574,0x12019f,File,\Device\Tcp
0x824f37c0,4,0x57c,0x12019f,File,\Device\Tcp
