PID,Name,Path
204,svchost.exe,C:\WINDOWS\system32\svchost.exe
204,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
216,svchost.exe,C:\WINDOWS\system32\svchost.exe
216,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
468,vmtoolsd.exe,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
468,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
468,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
468,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
468,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
468,ole32.dll,C:\WINDOWS\system32\ole32.dll
468,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
468,USER32.dll,C:\WINDOWS\system32\USER32.dll
468,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
468,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
468,MSVCR90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCR90.dll
468,intl.dll,C:\Program Files\VMware\VMware Tools\intl.dll
468,iconv.dll,C:\Program Files\VMware\VMware Tools\iconv.dll
468,glib-2.0.dll,C:\Program Files\VMware\VMware Tools\glib-2.0.dll
468,WS2_32.dll,C:\WINDOWS\system32\WS2_32.dll
468,WS2HELP.dll,C:\WINDOWS\system32\WS2HELP.dll
468,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
468,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
468,gmodule-2.0.dll,C:\Program Files\VMware\VMware Tools\gmodule-2.0.dll
468,gobject-2.0.dll,C:\Program Files\VMware\VMware Tools\gobject-2.0.dll
468,gthread-2.0.dll,C:\Program Files\VMware\VMware Tools\gthread-2.0.dll
468,vmtools.dll,C:\Program Files\VMware\VMware Tools\vmtools.dll
468,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
468,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
468,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
468,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
468,IpHlpApi.dll,C:\WINDOWS\system32\IpHlpApi.dll
468,NTMARTA.DLL,C:\WINDOWS\system32\NTMARTA.DLL
468,SAMLIB.dll,C:\WINDOWS\system32\SAMLIB.dll
468,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
468,hgfsServer.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsServer.dll
468,hgfs.dll,C:\Program Files\VMware\VMware Tools\hgfs.dll
468,MPR.dll,C:\WINDOWS\system32\MPR.dll
468,hgfsUsability.dll,C:\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll
468,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
468,vix.dll,C:\Program Files\VMware\VMware Tools\plugins\common\vix.dll
468,autoLogon.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll
468,MSVCP90.dll,C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\MSVCP90.dll
468,autoUpgrade.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoUpgrade.dll
468,WTSAPI32.dll,C:\WINDOWS\system32\WTSAPI32.dll
468,WINSTA.dll,C:\WINDOWS\system32\WINSTA.dll
468,NETAPI32.dll,C:\WINDOWS\system32\NETAPI32.dll
468,bitMapper.dll,C:\Program Files\VMware\VMware Tools\plugins\vmsvc\bitMapper.dll
588,cmd.exe,C:\Documents and Settings\Administrator\My Documents\Incident Response Suites\Helix IR\xp\cmd.exe
588,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
588,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
588,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
588,USER32.dll,C:\WINDOWS\system32\USER32.dll
588,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
588,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
588,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
