Offset,Name,PID,PPID,Thds,Hnds,Sess,Wow64,Start,Exit
0x825c8830,System,4,0,60,398,------,0,,
0x821a7020,smss.exe,544,4,3,19,------,0,2014-04-29 14:30:42 UTC+0000,
0x824ed020,csrss.exe,608,544,12,453,0,0,2014-04-29 14:30:44 UTC+0000,
0x82056128,winlogon.exe,632,544,19,563,0,0,2014-04-29 14:30:44 UTC+0000,
0x821e3020,services.exe,676,632,16,353,0,0,2014-04-29 14:30:44 UTC+0000,
0x82342020,lsass.exe,688,632,26,368,0,0,2014-04-29 14:30:45 UTC+0000,
0x82314988,vmacthlp.exe,848,676,1,25,0,0,2014-04-29 14:30:45 UTC+0000,
0x821b4c18,svchost.exe,864,676,16,192,0,0,2014-04-29 14:30:45 UTC+0000,
0x821b57e8,svchost.exe,948,676,10,290,0,0,2014-04-29 14:30:45 UTC+0000,
0x8231a558,svchost.exe,1040,676,82,1747,0,0,2014-04-29 14:30:45 UTC+0000,
0x8202a658,svchost.exe,1088,676,6,84,0,0,2014-04-29 14:30:45 UTC+0000,
0x821b83c0,svchost.exe,1140,676,13,177,0,0,2014-04-29 14:30:45 UTC+0000,
0x8232bda0,explorer.exe,1496,1460,16,603,0,0,2014-04-29 14:30:47 UTC+0000,
0x820b2da0,spoolsv.exe,1608,676,10,138,0,0,2014-04-29 14:30:47 UTC+0000,
0x824e4a78,rundll32.exe,1732,1496,4,76,0,0,2014-04-29 14:30:48 UTC+0000,
0x82048da0,vmtoolsd.exe,1740,1496,6,265,0,0,2014-04-29 14:30:48 UTC+0000,
0x8204cc10,ctfmon.exe,1748,1496,1,78,0,0,2014-04-29 14:30:48 UTC+0000,
0x8204d980,msmsgs.exe,1756,1496,3,193,0,0,2014-04-29 14:30:48 UTC+0000,
0x824e8c10,svchost.exe,204,676,5,108,0,0,2014-04-29 14:31:06 UTC+0000,
0x8205a228,svchost.exe,216,676,3,78,0,0,2014-04-29 14:31:06 UTC+0000,
0x821e0238,vmtoolsd.exe,468,676,7,300,0,0,2014-04-29 14:31:06 UTC+0000,
0x823efc10,alg.exe,172,676,6,107,0,0,2014-04-29 14:31:15 UTC+0000,
0x8205d658,wscntfy.exe,1996,1040,1,39,0,0,2014-04-29 14:31:16 UTC+0000,
0x820d11a8,iexplore.exe,1068,1496,0,--------,0,0,2014-04-29 15:53:44 UTC+0000,2014-04-29 15:56:38 UTC+0000
0x81f32020,iexplore.exe,1624,1496,0,--------,0,0,2014-04-29 15:58:27 UTC+0000,2014-04-29 16:07:37 UTC+0000
0x820e28a0,iexplore.exe,2196,1496,0,--------,0,0,2014-04-29 16:12:40 UTC+0000,2014-04-29 16:13:31 UTC+0000
0x823eac10,iexplore.exe,3724,1496,15,408,0,0,2014-04-29 16:43:40 UTC+0000,
0x82508c10,iexplore.exe,3232,3724,40,1352,0,0,2014-04-29 16:43:41 UTC+0000,
0x81f3a3c0,cmd.exe,588,1496,1,33,0,0,2014-04-29 16:44:41 UTC+0000,
0x823bd458,win32dd.exe,1072,588,1,22,0,0,2014-04-29 16:45:23 UTC+0000,
