Offset,PID,Port,Proto,Protocol,Address,Create Time
0x820bf8b0,3232,1712,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
0x820cae98,3232,1588,6,TCP,0.0.0.0,2014-04-29 16:44:09 UTC+0000
0x82101b10,4,0,47,GRE,0.0.0.0,2014-04-29 15:21:13 UTC+0000
0x8232cca0,3232,1561,6,TCP,0.0.0.0,2014-04-29 16:44:06 UTC+0000
0x81f018b0,3232,1689,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
0x81f456f0,4,137,17,UDP,10.1.0.2,2014-04-29 16:41:29 UTC+0000
0x81f1a298,3232,1693,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
0x82058660,688,500,17,UDP,0.0.0.0,2014-04-29 14:31:06 UTC+0000
0x8222ae98,3232,1666,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x823b7c18,3232,1728,6,TCP,0.0.0.0,2014-04-29 16:44:26 UTC+0000
0x823bbc68,3232,1573,6,TCP,0.0.0.0,2014-04-29 16:44:08 UTC+0000
0x81f10218,3232,1670,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x81f67228,3232,1732,6,TCP,0.0.0.0,2014-04-29 16:44:27 UTC+0000
0x82422e00,3232,1511,6,TCP,0.0.0.0,2014-04-29 16:43:44 UTC+0000
0x820fa008,3232,1705,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
0x821c9648,4,445,6,TCP,0.0.0.0,2014-04-29 14:30:42 UTC+0000
0x82040e98,948,135,6,TCP,0.0.0.0,2014-04-29 14:30:45 UTC+0000
0x81f00e98,3232,1682,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x82227610,3232,1589,6,TCP,0.0.0.0,2014-04-29 16:44:09 UTC+0000
0x81f68a20,3232,1686,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x81f6c958,3232,1593,6,TCP,0.0.0.0,2014-04-29 16:44:09 UTC+0000
0x8223d998,3232,1624,6,TCP,0.0.0.0,2014-04-29 16:44:21 UTC+0000
0x823a48e8,3232,1655,6,TCP,0.0.0.0,2014-04-29 16:44:21 UTC+0000
0x823a98d0,3232,1562,6,TCP,0.0.0.0,2014-04-29 16:44:07 UTC+0000
0x82387e00,3232,1721,6,TCP,0.0.0.0,2014-04-29 16:44:24 UTC+0000
0x824e1008,4,138,17,UDP,10.1.0.2,2014-04-29 16:41:29 UTC+0000
0x81f53008,3232,1663,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x81f86b38,3232,1725,6,TCP,0.0.0.0,2014-04-29 16:44:24 UTC+0000
0x82077518,3232,1535,6,TCP,0.0.0.0,2014-04-29 16:44:05 UTC+0000
0x81ef2008,3232,1698,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
0x820dd940,3232,1667,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x82225008,3232,1729,6,TCP,0.0.0.0,2014-04-29 16:44:26 UTC+0000
0x81f0e540,3232,1578,6,TCP,0.0.0.0,2014-04-29 16:44:08 UTC+0000
0x820efb00,3232,1733,6,TCP,0.0.0.0,2014-04-29 16:44:32 UTC+0000
0x81f71a78,3232,1737,6,TCP,0.0.0.0,2014-04-29 16:44:42 UTC+0000
0x82059958,1040,123,17,UDP,10.1.0.2,2014-04-29 16:41:29 UTC+0000
0x821e4758,688,0,255,Reserved,0.0.0.0,2014-04-29 14:31:06 UTC+0000
0x8235ae98,3232,1675,6,TCP,0.0.0.0,2014-04-29 16:44:22 UTC+0000
0x8237ce98,1040,123,17,UDP,127.0.0.1,2014-04-29 16:41:29 UTC+0000
0x81eeb8b0,3232,1710,6,TCP,0.0.0.0,2014-04-29 16:44:23 UTC+0000
