PID,Name,Path
172,alg.exe,C:\WINDOWS\System32\alg.exe
172,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
172,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
172,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
172,ATL.DLL,C:\WINDOWS\System32\ATL.DLL
172,USER32.dll,C:\WINDOWS\system32\USER32.dll
172,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
172,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
172,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
172,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
172,ole32.dll,C:\WINDOWS\system32\ole32.dll
172,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
172,WSOCK32.dll,C:\WINDOWS\System32\WSOCK32.dll
172,WS2_32.dll,C:\WINDOWS\System32\WS2_32.dll
172,WS2HELP.dll,C:\WINDOWS\System32\WS2HELP.dll
172,MSWSOCK.DLL,C:\WINDOWS\System32\MSWSOCK.DLL
172,ShimEng.dll,C:\WINDOWS\System32\ShimEng.dll
172,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
172,WINMM.dll,C:\WINDOWS\System32\WINMM.dll
172,MSACM32.dll,C:\WINDOWS\System32\MSACM32.dll
172,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
172,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
172,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
172,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
172,UxTheme.dll,C:\WINDOWS\System32\UxTheme.dll
172,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
172,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
172,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
172,CLBCATQ.DLL,C:\WINDOWS\System32\CLBCATQ.DLL
172,COMRes.dll,C:\WINDOWS\System32\COMRes.dll
172,xpsp2res.dll,C:\WINDOWS\System32\xpsp2res.dll
172,hnetcfg.dll,C:\WINDOWS\system32\hnetcfg.dll
172,wshtcpip.dll,C:\WINDOWS\System32\wshtcpip.dll
204,svchost.exe,C:\WINDOWS\system32\svchost.exe
204,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
204,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
204,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
204,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
204,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
204,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
