Name,PID,ProcessName
Eventlog,676,services.exe
PlugPlay,676,services.exe
PolicyAgent,688,lsass.exe
ProtectedStorage,688,lsass.exe
SamSs,688,lsass.exe
Vmware Physical Disk Helper Service,848,vmacthlp.exe
DcomLaunch,864,svchost.exe
TermService,864,svchost.exe
RpcSs,948,svchost.exe
AudioSrv,1040,svchost.exe
BITS,1040,svchost.exe
Browser,1040,svchost.exe
CryptSvc,1040,svchost.exe
Dhcp,1040,svchost.exe
dmserver,1040,svchost.exe
ERSvc,1040,svchost.exe
EventSystem,1040,svchost.exe
FastUserSwitchingCompatibility,1040,svchost.exe
helpsvc,1040,svchost.exe
LanmanServer,1040,svchost.exe
lanmanworkstation,1040,svchost.exe
Netman,1040,svchost.exe
Nla,1040,svchost.exe
RasMan,1040,svchost.exe
Schedule,1040,svchost.exe
seclogon,1040,svchost.exe
SENS,1040,svchost.exe
SharedAccess,1040,svchost.exe
ShellHWDetection,1040,svchost.exe
srservice,1040,svchost.exe
TapiSrv,1040,svchost.exe
Themes,1040,svchost.exe
TrkWks,1040,svchost.exe
W32Time,1040,svchost.exe
winmgmt,1040,svchost.exe
wscsvc,1040,svchost.exe
wuauserv,1040,svchost.exe
WZCSVC,1040,svchost.exe
Dnscache,1088,svchost.exe
LmHosts,1140,svchost.exe
RemoteRegistry,1140,svchost.exe
SSDPSRV,1140,svchost.exe
Spooler,1608,spoolsv.exe
WebClient,204,svchost.exe
BthServ,216,svchost.exe
VMTools,468,vmtoolsd.exe
ALG,172,alg.exe
