Offset,PID,Port,Proto,Protocol,Address,Create Time
0x82101b10,4,0,47,GRE,0.0.0.0,2014-04-29 15:21:13 UTC+0000
0x8206e268,4,137,17,UDP,10.1.0.2,2014-04-29 15:03:34 UTC+0000
0x82058660,688,500,17,UDP,0.0.0.0,2014-04-29 14:31:06 UTC+0000
0x821c9648,4,445,6,TCP,0.0.0.0,2014-04-29 14:30:42 UTC+0000
0x82040e98,948,135,6,TCP,0.0.0.0,2014-04-29 14:30:45 UTC+0000
0x82085008,1624,1314,6,TCP,0.0.0.0,2014-04-29 15:58:27 UTC+0000
0x82334b70,4,138,17,UDP,10.1.0.2,2014-04-29 15:03:34 UTC+0000
0x8202a328,1040,123,17,UDP,10.1.0.2,2014-04-29 15:03:34 UTC+0000
0x82036180,1040,123,17,UDP,127.0.0.1,2014-04-29 15:03:34 UTC+0000
0x821e4758,688,0,255,Reserved,0.0.0.0,2014-04-29 14:31:06 UTC+0000
0x82101e00,4,1087,6,TCP,0.0.0.0,2014-04-29 15:21:13 UTC+0000
0x81f456e8,1140,1900,17,UDP,10.1.0.2,2014-04-29 15:03:34 UTC+0000
0x82416008,1140,1900,17,UDP,127.0.0.1,2014-04-29 15:03:34 UTC+0000
0x821ba310,688,4500,17,UDP,0.0.0.0,2014-04-29 14:31:06 UTC+0000
0x82503008,4,139,6,TCP,10.1.0.2,2014-04-29 15:03:34 UTC+0000
0x8232ac08,4,445,17,UDP,0.0.0.0,2014-04-29 14:30:42 UTC+0000
0x82537a28,172,1027,6,TCP,127.0.0.1,2014-04-29 14:31:15 UTC+0000
