Offset,PID,Handle,Access,Type,Details,
0x825c8830,4,0x4,0x1f0fff,Process,System(4),
0x825c7020,4,0x8,0x0,Thread,TID 12 PID 4,
0xe146a688,4,0xc,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER,
0xe1011490,4,0x10,0x0,Key,,\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe14793a0,4,0x14,0x2001f,Key,MACHINE\SYSTEM\SETUP,
0xe100a6d0,4,0x18,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADA,
0xe146b168,4,0x1c,0x20019,Key,MACHINE\SYSTEM\WPA\MEDIACENTER,PTER
0xe1478430,4,0x20,0x20019,Key,MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM,
0xe146e400,4,0x24,0x20019,Key,MACHINE\SYSTEM\WPA\PNP,
0xe1477610,4,0x28,0x20019,Key,MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ,
0xe1471b30,4,0x2c,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS,
0xe146b798,4,0x30,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG,
0x825c1628,4,0x34,0x1f0003,Event,TRKWKS_EVENT,
0x82527630,4,0x90,0x140003,File,\Device\HarddiskVolume1\pagefile.sys,
0xe1580628,4,0x94,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS,
0x825e2ca8,4,0x98,0x1f03ff,Thread,TID 96 PID 4,0\INITIATOR ID 255
0xe100cbb0,4,0x9c,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETER,
0x82431020,4,0xa4,0x1f03ff,Thread,TID 112 PID 4,S
0xe1573eb0,4,0xa8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2,
0x825e1990,4,0xac,0x0,Thread,TID 104 PID 4,
0x825e0020,4,0xb0,0x1f03ff,Thread,TID 108 PID 4,
0x825ea160,4,0xb4,0x1f0003,Event,VxKernel2VoldEvent,
0xe157d488,4,0xb8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI,
0xe156b428,4,0xbc,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS,
0xe15209b8,4,0xc0,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS,0
0xe155e330,4,0xc4,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS,0\TARGET ID 0
0xe14e1400,4,0xd4,0xf000f,Directory,WinDfs,0\TARGET ID 0\LOGICAL UNIT ID 0
0xe157a3f0,4,0xdc,0xf000f,Directory,Harddisk0,
0x82537a10,4,0x5d0,0x1f01ff,File,\Device\Tcp,
0x824c11d8,4,0x5d8,0x0,Thread,TID 124 PID 4,
0x824ef310,4,0x5dc,0x1f03ff,Thread,TID 288 PID 4,
0x82510a40,4,0x5e8,0x12019f,File,\Device\Gpc,
0xe16cc1c8,4,0x5ec,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADA,
0xe17b4338,4,0x650,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADA,PTER
0x821ac3c0,4,0x6dc,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,PTER
0x823fd0f0,4,0x6e0,0x120116,File,\Device\HarddiskVolume1\System Volume Information\_r,9D289}
0x822117c8,4,0x6e4,0x12019f,File,\Device\NamedPipe\,estore{F534E9BC-1B8A-47AD-A6A4-FF67FAAEB8FA}\RP36\change.log
0x824ec7f0,4,0x6e8,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\defa,
0x82339e18,4,0x6ec,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECU,ult
0x82537e28,4,0x6f0,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECU,RITY
0x8250d958,4,0x6f4,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM,RITY.LOG
0x824f3890,4,0x6f8,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\soft,
0x820b3a90,4,0x6fc,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\soft,ware
0x823be2a8,4,0x700,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM.,ware.LOG
0x821fa950,4,0x704,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\syst,LOG
0x82056840,4,0x708,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\syst,em
0xe1657838,4,0x70c,0x4,Directory,WindowStations,em.LOG
0xe198df68,4,0x710,0x1f0001,Port,,
0x823be820,4,0x714,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\defa,
0x823f7408,4,0x718,0x1f0003,Event,StuckThreadEvent,ult.LOG
0x823379c8,4,0x71c,0xf0003,Desktop,Disconnect,
0x81f68020,4,0x720,0x438,Process,lsass.exe(696),
0x8222f8d8,4,0x724,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Netwo,
0xe16a1708,4,0x728,0x1f0001,Port,,rkService\NTUSER.DAT
0xe163b828,4,0x72c,0x2,Key,MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG,
0x8238b0f0,4,0x730,0x12019f,File,\Device\Tcp,
0x821b6f90,4,0x734,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Netwo,
0x824a3d20,4,0x738,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Netwo,rkService\ntuser.dat.LOG
0x8221bb68,4,0x73c,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Netwo,rkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x8206b428,4,0x740,0x12019f,File,\Device\Tcp,rkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x821982d0,4,0x744,0x12019f,File,\Device\Tcp,
0x8243cd38,4,0x748,0x12019f,File,\Device\Tcp,
0x81f89338,4,0x74c,0x12019f,File,\Device\Tcp,
0x81f96b68,4,0x750,0x12019f,File,\Device\Tcp,
0x81f96ad0,4,0x754,0x12019f,File,\Device\Tcp,
0x8222e858,4,0x758,0x12019f,File,\Device\Tcp,
0x821b66c0,4,0x75c,0x12019f,File,\Device\Tcp,
0x8222d430,4,0x760,0x12019f,File,\Device\Tcp,
0x821b4f10,4,0x764,0x12019f,File,\Device\Tcp,
0x821b4ae8,4,0x768,0x12019f,File,\Device\Tcp,
0x821ab6c0,4,0x76c,0x12019f,File,\Device\Tcp,
0x821b46c0,4,0x770,0x12019f,File,\Device\Tcp,
0x81fa6d78,4,0x774,0x12019f,File,\Device\Tcp,
0x81fa6950,4,0x778,0x12019f,File,\Device\Tcp,
0x81fa6528,4,0x77c,0x12019f,File,\Device\Tcp,
0x8222cc80,4,0x780,0x12019f,File,\Device\Tcp,
0x8222c858,4,0x784,0x12019f,File,\Device\Tcp,
0x8222c430,4,0x788,0x12019f,File,\Device\Tcp,
0x821b3f10,4,0x78c,0x12019f,File,\Device\Tcp,
0x821b3ae8,4,0x790,0x12019f,File,\Device\Tcp,
