PID,Name,Path
140,svchost.exe,C:\WINDOWS\system32\svchost.exe
140,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
140,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
140,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
140,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
140,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
140,ShimEng.dll,C:\WINDOWS\system32\ShimEng.dll
140,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
140,USER32.dll,C:\WINDOWS\system32\USER32.dll
140,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
140,WINMM.dll,C:\WINDOWS\system32\WINMM.dll
140,ole32.dll,C:\WINDOWS\system32\ole32.dll
140,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
140,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
140,MSACM32.dll,C:\WINDOWS\system32\MSACM32.dll
140,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
140,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
140,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
140,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
140,UxTheme.dll,C:\WINDOWS\system32\UxTheme.dll
140,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
140,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
140,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
140,NTMARTA.DLL,C:\WINDOWS\system32\NTMARTA.DLL
140,SAMLIB.dll,C:\WINDOWS\system32\SAMLIB.dll
140,WLDAP32.dll,C:\WINDOWS\system32\WLDAP32.dll
140,xpsp2res.dll,C:\WINDOWS\system32\xpsp2res.dll
140,webclnt.dll,c:\windows\system32\webclnt.dll
140,WININET.dll,C:\WINDOWS\system32\WININET.dll
140,Normaliz.dll,C:\WINDOWS\system32\Normaliz.dll
140,urlmon.dll,C:\WINDOWS\system32\urlmon.dll
140,iertutil.dll,C:\WINDOWS\system32\iertutil.dll
140,WS2_32.dll,c:\windows\system32\WS2_32.dll
140,WS2HELP.dll,c:\windows\system32\WS2HELP.dll
168,alg.exe,C:\WINDOWS\System32\alg.exe
168,ntdll.dll,C:\WINDOWS\system32\ntdll.dll
168,kernel32.dll,C:\WINDOWS\system32\kernel32.dll
168,msvcrt.dll,C:\WINDOWS\system32\msvcrt.dll
168,ATL.DLL,C:\WINDOWS\System32\ATL.DLL
168,USER32.dll,C:\WINDOWS\system32\USER32.dll
168,GDI32.dll,C:\WINDOWS\system32\GDI32.dll
168,ADVAPI32.dll,C:\WINDOWS\system32\ADVAPI32.dll
168,RPCRT4.dll,C:\WINDOWS\system32\RPCRT4.dll
168,Secur32.dll,C:\WINDOWS\system32\Secur32.dll
168,ole32.dll,C:\WINDOWS\system32\ole32.dll
168,OLEAUT32.dll,C:\WINDOWS\system32\OLEAUT32.dll
168,WSOCK32.dll,C:\WINDOWS\System32\WSOCK32.dll
168,WS2_32.dll,C:\WINDOWS\System32\WS2_32.dll
168,WS2HELP.dll,C:\WINDOWS\System32\WS2HELP.dll
168,MSWSOCK.DLL,C:\WINDOWS\System32\MSWSOCK.DLL
168,ShimEng.dll,C:\WINDOWS\System32\ShimEng.dll
168,AcGenral.DLL,C:\WINDOWS\AppPatch\AcGenral.DLL
168,WINMM.dll,C:\WINDOWS\System32\WINMM.dll
168,MSACM32.dll,C:\WINDOWS\System32\MSACM32.dll
168,VERSION.dll,C:\WINDOWS\system32\VERSION.dll
168,SHELL32.dll,C:\WINDOWS\system32\SHELL32.dll
168,SHLWAPI.dll,C:\WINDOWS\system32\SHLWAPI.dll
168,USERENV.dll,C:\WINDOWS\system32\USERENV.dll
168,UxTheme.dll,C:\WINDOWS\System32\UxTheme.dll
168,IMM32.DLL,C:\WINDOWS\system32\IMM32.DLL
168,comctl32.dll,C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
168,comctl32.dll,C:\WINDOWS\system32\comctl32.dll
