Offset,Name,PID,PPID,Thds,Hnds,Sess,Wow64,Start,Exit
0x825c8830,System,4,0,58,257,------,0,,
0x82489da0,smss.exe,552,4,3,19,------,0,2014-04-30 19:10:42 UTC+0000,
0x81f6a128,csrss.exe,616,552,10,365,0,0,2014-04-30 19:10:43 UTC+0000,
0x8217a128,winlogon.exe,640,552,22,521,0,0,2014-04-30 19:10:43 UTC+0000,
0x8222f020,services.exe,684,640,15,270,0,0,2014-04-30 19:10:43 UTC+0000,
0x81f68020,lsass.exe,696,640,22,350,0,0,2014-04-30 19:10:43 UTC+0000,
0x8217e020,vmacthlp.exe,852,684,1,25,0,0,2014-04-30 19:10:43 UTC+0000,
0x821aa020,svchost.exe,868,684,19,202,0,0,2014-04-30 19:10:43 UTC+0000,
0x82191ab0,svchost.exe,948,684,10,255,0,0,2014-04-30 19:10:44 UTC+0000,
0x81fca308,svchost.exe,1040,684,67,1436,0,0,2014-04-30 19:10:44 UTC+0000,
0x81f865d0,svchost.exe,1100,684,5,59,0,0,2014-04-30 19:10:44 UTC+0000,
0x81f88230,svchost.exe,1180,684,12,166,0,0,2014-04-30 19:10:45 UTC+0000,
0x81f8b228,explorer.exe,1524,1488,12,367,0,0,2014-04-30 19:10:46 UTC+0000,
0x81f76b10,spoolsv.exe,1556,684,14,146,0,0,2014-04-30 19:10:46 UTC+0000,
0x8217a978,rundll32.exe,1696,1524,4,76,0,0,2014-04-30 19:10:46 UTC+0000,
0x821a8558,vmtoolsd.exe,1708,1524,3,142,0,0,2014-04-30 19:10:46 UTC+0000,
0x82221228,ctfmon.exe,1716,1524,1,78,0,0,2014-04-30 19:10:46 UTC+0000,
0x82221a78,msmsgs.exe,1724,1524,6,239,0,0,2014-04-30 19:10:46 UTC+0000,
0x821b53c0,svchost.exe,140,684,4,106,0,0,2014-04-30 19:10:55 UTC+0000,
0x82227980,svchost.exe,212,684,5,82,0,0,2014-04-30 19:10:55 UTC+0000,
0x81f8ba80,vmtoolsd.exe,380,684,7,292,0,0,2014-04-30 19:10:55 UTC+0000,
0x8241d970,alg.exe,168,684,6,97,0,0,2014-04-30 19:10:59 UTC+0000,
0x81f84580,wscntfy.exe,604,1040,1,39,0,0,2014-04-30 19:11:00 UTC+0000,
0x821eb318,cmd.exe,1780,1524,1,33,0,0,2014-04-30 19:11:22 UTC+0000,
0x82210328,win32dd.exe,1668,1780,1,22,0,0,2014-04-30 19:16:30 UTC+0000,
