Name,PID,ProcessName
Eventlog,684,services.exe
PlugPlay,684,services.exe
PolicyAgent,696,lsass.exe
ProtectedStorage,696,lsass.exe
SamSs,696,lsass.exe
VMware Physical Disk Helper Service,852,vmacthlp.exe
DcomLaunch,868,svchost.exe
TermService,868,svchost.exe
RpcSs,948,svchost.exe
AudioSrv,1040,svchost.exe
BITS,1040,svchost.exe
Browser,1040,svchost.exe
CryptSvc,1040,svchost.exe
Dhcp,1040,svchost.exe
dmserver,1040,svchost.exe
ERSvc,1040,svchost.exe
EventSystem,1040,svchost.exe
FastUserSwitchingCompatibility,1040,svchost.exe
helpsvc,1040,svchost.exe
LanmanServer,1040,svchost.exe
lanmanworkstation,1040,svchost.exe
Netman,1040,svchost.exe
Nla,1040,svchost.exe
Schedule,1040,svchost.exe
seclogon,1040,svchost.exe
SENS,1040,svchost.exe
SharedAccess,1040,svchost.exe
ShellHWDetection,1040,svchost.exe
srservice,1040,svchost.exe
Themes,1040,svchost.exe
TrkWks,1040,svchost.exe
W32Time,1040,svchost.exe
winmgmt,1040,svchost.exe
wscsvc,1040,svchost.exe
wuauserv,1040,svchost.exe
WZCSVC,1040,svchost.exe
Dnscache,1100,svchost.exe
LmHosts,1180,svchost.exe
RemoteRegistry,1180,svchost.exe
SSDPSRV,1180,svchost.exe
Spooler,1556,spoolsv.exe
WebClient,140,svchost.exe
BthServ,212,svchost.exe
VMTools,380,vmtoolsd.exe
ALG,168,alg.exe
