Offset,PID,Port,Proto,Protocol,Address,Create Time
0x81f9c900,4,137,17,UDP,10.1.0.2,2014-04-30 19:10:49 UTC+0000
0x82231e98,696,500,17,UDP,0.0.0.0,2014-04-30 19:10:55 UTC+0000
0x823e88b8,1724,1034,6,TCP,0.0.0.0,2014-04-30 19:13:45 UTC+0000
0x82077008,168,1028,6,TCP,127.0.0.1,2014-04-30 19:11:00 UTC+0000
0x81fcb008,4,445,6,TCP,0.0.0.0,2014-04-30 19:10:29 UTC+0000
0x82197e98,948,135,6,TCP,0.0.0.0,2014-04-30 19:10:44 UTC+0000
0x821a9538,4,138,17,UDP,10.1.0.2,2014-04-30 19:10:49 UTC+0000
0x82194588,1040,123,17,UDP,10.1.0.2,2014-04-30 19:10:58 UTC+0000
0x82435cd8,696,0,255,Reserved,0.0.0.0,2014-04-30 19:10:55 UTC+0000
0x8250b488,1040,123,17,UDP,127.0.0.1,2014-04-30 19:10:58 UTC+0000
0x823d1008,1180,1900,17,UDP,10.1.0.2,2014-04-30 19:10:59 UTC+0000
0x82483380,1180,1900,17,UDP,127.0.0.1,2014-04-30 19:10:59 UTC+0000
0x8251dc78,696,4500,17,UDP,0.0.0.0,2014-04-30 19:10:55 UTC+0000
0x81f9ee98,4,139,6,TCP,10.1.0.2,2014-04-30 19:10:49 UTC+0000
0x821c9458,4,445,17,UDP,0.0.0.0,2014-04-30 19:10:29 UTC+0000
