Offset,PID,Handle,Access,Type,Details
0x825c8830,4,0x4,0x1f0fff,Process,System(4)
0x825c7020,4,0x8,0x0,Thread,TID 12 PID 4
0xe1459688,4,0xc,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe1011490,4,0x10,0x0,Key,
0xe14683a0,4,0x14,0x2001f,Key,MACHINE\SYSTEM\SETUP
0xe100a6d0,4,0x18,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe145a168,4,0x1c,0x20019,Key,MACHINE\SYSTEM\WPA\MEDIACENTER
0xe1467430,4,0x20,0x20019,Key,MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
0xe145d400,4,0x24,0x20019,Key,MACHINE\SYSTEM\WPA\PNP
0xe1466610,4,0x28,0x20019,Key,MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
0xe1460b30,4,0x2c,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xe145a798,4,0x30,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
0x825c1628,4,0x34,0x1f0003,Event,TRKWKS_EVENT
0xe18bf948,4,0x90,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526-22B2-4341-952A-B341608F71F8}\0001\VOLATILESETTINGS
0xe1547628,4,0x94,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\INITIATOR ID 255
0x825e2da0,4,0x98,0x1f03ff,Thread,TID 96 PID 4
0xe1011268,4,0x9c,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETERS
0x820a5920,4,0xa4,0x1f03ff,Thread,TID 112 PID 4
0xe15604e8,4,0xa8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2
0x82080238,4,0xac,0x0,Thread,TID 104 PID 4
0x82378928,4,0xb0,0x1f03ff,Thread,TID 108 PID 4
0x825ea160,4,0xb4,0x1f0003,Event,VxKernel2VoldEvent
0xe14d6fb8,4,0xb8,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI
0xe101ef20,4,0xbc,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0xe1568188,4,0xc0,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0
0xe1565580,4,0xc4,0x2001f,Key,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0\LOGICAL UNIT ID 0
0xe15731b8,4,0xd4,0xf000f,Directory,WinDfs
0xe101dd50,4,0xdc,0xf000f,Directory,Harddisk0
0x8237c028,4,0x328,0x12019f,File,\Device\Tcp
0x82385978,4,0x330,0x0,Thread,TID 124 PID 4
0x82229b60,4,0x334,0x12019f,File,\Device\Tcp
0x824caba0,4,0x338,0x1f03ff,Thread,TID 292 PID 4
0x82260700,4,0x5fc,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0x823a23c8,4,0x600,0x120089,File,\Device\Tcp
0x820fdcd8,4,0x604,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
0x822601f8,4,0x60c,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
0xe100b270,4,0x610,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526-22B2-4341-952A-B341608F71F8}\0000\VOLATILESETTINGS
0xe171deb0,4,0x614,0x2,Key,MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x82458d20,4,0x618,0x12019f,File,\Device\Tcp
0xe1683368,4,0x61c,0x4,Directory,WindowStations
0x8233bb18,4,0x620,0x1f0003,Event,StuckThreadEvent
0x82260a30,4,0x624,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\default
0x82260ee8,4,0x628,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
0x823a25e0,4,0x62c,0x12019f,File,\Device\Tcp
0x82458f38,4,0x630,0x12019f,File,\Device\Tcp
0x82537638,4,0x634,0x120116,File,\Device\HarddiskVolume1\System Volume Information\_restore{F534E9BC-1B8A-47AD-A6A4-FF67FAAEB8FA}\RP34\change.log
0x82260028,4,0x638,0x3,File,\Device\HarddiskVolume1\WINDOWS\system32\config\system
0x821f5020,4,0x63c,0x1f03ff,Thread,TID 348 PID 4
0xe16eaa38,4,0x640,0x1f0001,Port,SeRmCommandPort
0x820e4458,4,0x644,0x12019f,File,\Device\Tcp
0x823a2c08,4,0x648,0x12019f,File,\Device\Gpc
0x8246d2f0,4,0x64c,0x12019f,File,\Device\Gpc
0x8246d0d8,4,0x650,0x12019f,File,\Device\Tcp
0x820e4628,4,0x654,0x12019f,File,\Device\Udp
0x82296270,4,0x658,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x824ab918,4,0x65c,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
0x8249ece8,4,0x660,0xf0003,Desktop,Disconnect
0x82428880,4,0x664,0x438,Process,lsass.exe(696)
0x82463760,4,0x668,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0xe1995268,4,0x66c,0x1f0001,Port,
0x822964a0,4,0x670,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\software
0x82296ab8,4,0x674,0x20,File,\Device\hgfs
0x8225f138,4,0x678,0x140003,File,\Device\HarddiskVolume1\pagefile.sys
0x82095ed8,4,0x67c,0x100003,Event,LanmanServerAnnounceEvent
0x824ce0d0,4,0x680,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
0x82296cd8,4,0x684,0x120116,File,\Device\Mup
0xe199e590,4,0x688,0x1f0001,Port,
0x82428880,4,0x68c,0x28,Process,lsass.exe(696)
0x821e6028,4,0x690,0x1f01ff,File,\Device\Tcp
0x820fd428,4,0x694,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
0x82458c88,4,0x698,0x12019f,File,\Device\Tcp
0x822604f8,4,0x69c,0x2000003,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SAM
0x820d7bd0,4,0x6a0,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x820d89f0,4,0x6a4,0x12019f,File,\Device\Tcp
0x822653c0,4,0x6a8,0x12019f,File,\Device\Tcp
0x82497958,4,0x6ac,0x12019f,File,\Device\Tcp
0x82265838,4,0x6b0,0x12019f,File,\Device\Tcp
0x824506c8,4,0x6b4,0x12019f,File,\Device\Tcp
0x8248e860,4,0x6b8,0x12019f,File,\Device\Tcp
0x82446af0,4,0x6bc,0x12019f,File,\Device\Tcp
0x82446678,4,0x6c0,0x12019f,File,\Device\Tcp
0x8205f508,4,0x6c4,0x12019f,File,\Device\Tcp
0x82358838,4,0x6c8,0x12019f,File,\Device\Tcp
