Name,PID,ProcessName
Eventlog,684,services.exe
PlugPlay,684,services.exe
PolicyAgent,696,lsass.exe
ProtectedStorage,696,lsass.exe
SamSs,696,lsass.exe
Vmware Physical Disk Helper Service,852,vmacthlp.exe
DcomLaunch,880,svchost.exe
TermService,880,svchost.exe
RpcSs,948,svchost.exe
AudioSrv,1080,svchost.exe
BITS,1080,svchost.exe
CryptSvc,1080,svchost.exe
Dhcp,1080,svchost.exe
dmserver,1080,svchost.exe
ERSvc,1080,svchost.exe
EventSystem,1080,svchost.exe
FastUserSwitchingCompatibility,1080,svchost.exe
helpsvc,1080,svchost.exe
LanmanServer,1080,svchost.exe
lanmanworkstation,1080,svchost.exe
Netman,1080,svchost.exe
Nla,1080,svchost.exe
Schedule,1080,svchost.exe
seclogon,1080,svchost.exe
SENS,1080,svchost.exe
SharedAccess,1080,svchost.exe
ShellHWDetection,1080,svchost.exe
srservice,1080,svchost.exe
Themes,1080,svchost.exe
TrkWks,1080,svchost.exe
W32Time,1080,svchost.exe
winmgmt,1080,svchost.exe
wscsvc,1080,svchost.exe
wuauserv,1080,svchost.exe
WZCSVC,1080,svchost.exe
Dnscache,1180,svchost.exe
LmHosts,1208,svchost.exe
RemoteRegistry,1208,svchost.exe
SSDPSRV,1208,svchost.exe
Spooler,1612,spoolsv.exe
WebClient,180,svchost.exe
BthServ,164,svchost.exe
VMTools,476,vmtoolsd.exe
ALG,1704,alg.exe
