PID,Name,Path
232,smss.exe,\SystemRoot\System32\smss.exe
232,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll
320,csrss.exe,C:\Windows\system32\csrss.exe
320,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll
320,CSRSRV.dll,C:\Windows\system32\CSRSRV.dll
320,basesrv.DLL,C:\Windows\system32\basesrv.DLL
320,winsrv.DLL,C:\Windows\system32\winsrv.DLL
320,USER32.dll,C:\Windows\system32\USER32.dll
320,GDI32.dll,C:\Windows\system32\GDI32.dll
320,kernel32.dll,C:\Windows\SYSTEM32\kernel32.dll
320,KERNELBASE.dll,C:\Windows\system32\KERNELBASE.dll
320,LPK.dll,C:\Windows\system32\LPK.dll
320,USP10.dll,C:\Windows\system32\USP10.dll
320,msvcrt.dll,C:\Windows\system32\msvcrt.dll
320,sxssrv.DLL,C:\Windows\system32\sxssrv.DLL
320,sxs.dll,C:\Windows\system32\sxs.dll
320,RPCRT4.dll,C:\Windows\system32\RPCRT4.dll
320,CRYPTBASE.dll,C:\Windows\system32\CRYPTBASE.dll
320,ADVAPI32.dll,C:\Windows\system32\ADVAPI32.dll
320,sechost.dll,C:\Windows\SYSTEM32\sechost.dll
360,wininit.exe,C:\Windows\system32\wininit.exe
360,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll
360,kernel32.dll,C:\Windows\system32\kernel32.dll
360,KERNELBASE.dll,C:\Windows\system32\KERNELBASE.dll
360,USER32.dll,C:\Windows\system32\USER32.dll
360,GDI32.dll,C:\Windows\system32\GDI32.dll
360,LPK.dll,C:\Windows\system32\LPK.dll
360,USP10.dll,C:\Windows\system32\USP10.dll
360,msvcrt.dll,C:\Windows\system32\msvcrt.dll
360,RPCRT4.dll,C:\Windows\system32\RPCRT4.dll
360,sechost.dll,C:\Windows\SYSTEM32\sechost.dll
360,profapi.dll,C:\Windows\system32\profapi.dll
360,IMM32.DLL,C:\Windows\system32\IMM32.DLL
360,MSCTF.dll,C:\Windows\system32\MSCTF.dll
360,RpcRtRemote.dll,C:\Windows\system32\RpcRtRemote.dll
360,apphelp.dll,C:\Windows\system32\apphelp.dll
360,CRYPTBASE.dll,C:\Windows\system32\CRYPTBASE.dll
360,WS2_32.dll,C:\Windows\system32\WS2_32.dll
360,NSI.dll,C:\Windows\system32\NSI.dll
360,mswsock.dll,C:\Windows\system32\mswsock.dll
360,wshtcpip.dll,C:\Windows\System32\wshtcpip.dll
360,wship6.dll,C:\Windows\System32\wship6.dll
360,secur32.dll,C:\Windows\system32\secur32.dll
360,SSPICLI.DLL,C:\Windows\system32\SSPICLI.DLL
360,credssp.dll,C:\Windows\system32\credssp.dll
360,ADVAPI32.dll,C:\Windows\system32\ADVAPI32.dll
372,csrss.exe,C:\Windows\system32\csrss.exe
372,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll
372,CSRSRV.dll,C:\Windows\system32\CSRSRV.dll
372,basesrv.DLL,C:\Windows\system32\basesrv.DLL
372,winsrv.DLL,C:\Windows\system32\winsrv.DLL
372,USER32.dll,C:\Windows\system32\USER32.dll
372,GDI32.dll,C:\Windows\system32\GDI32.dll
372,kernel32.dll,C:\Windows\SYSTEM32\kernel32.dll
372,KERNELBASE.dll,C:\Windows\system32\KERNELBASE.dll
372,LPK.dll,C:\Windows\system32\LPK.dll
372,USP10.dll,C:\Windows\system32\USP10.dll
372,msvcrt.dll,C:\Windows\system32\msvcrt.dll
372,sxssrv.DLL,C:\Windows\system32\sxssrv.DLL
372,sxs.dll,C:\Windows\system32\sxs.dll
372,RPCRT4.dll,C:\Windows\system32\RPCRT4.dll
372,CRYPTBASE.dll,C:\Windows\system32\CRYPTBASE.dll
372,ADVAPI32.dll,C:\Windows\system32\ADVAPI32.dll
372,sechost.dll,C:\Windows\SYSTEM32\sechost.dll
416,services.exe,C:\Windows\system32\services.exe
416,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll
416,kernel32.dll,C:\Windows\system32\kernel32.dll
416,KERNELBASE.dll,C:\Windows\system32\KERNELBASE.dll
416,msvcrt.dll,C:\Windows\system32\msvcrt.dll
