Offset,Name,PID,PPID,Thds,Hnds,Sess,Wow64,Start,Exit
0xfffffa80018abb30,System,4,0,80,654,------,0,2014-05-05 14:16:33 UTC+0000,
0xfffffa8002a52b30,smss.exe,232,4,2,30,------,0,2014-05-05 14:16:33 UTC+0000,
0xfffffa80045d9950,csrss.exe,320,312,9,537,0,0,2014-05-05 14:16:44 UTC+0000,
0xfffffa800465ab30,wininit.exe,360,312,3,79,0,0,2014-05-05 14:16:44 UTC+0000,
0xfffffa8004662b30,csrss.exe,372,352,11,282,1,0,2014-05-05 14:16:44 UTC+0000,
0xfffffa80046c9b30,services.exe,416,360,8,226,0,0,2014-05-05 14:16:45 UTC+0000,
0xfffffa8004a30060,winlogon.exe,448,352,3,112,1,0,2014-05-05 14:16:46 UTC+0000,
0xfffffa80049ff670,lsass.exe,460,360,7,584,0,0,2014-05-05 14:16:46 UTC+0000,
0xfffffa8004a38b30,lsm.exe,468,360,10,147,0,0,2014-05-05 14:16:46 UTC+0000,
0xfffffa8004a3ab30,svchost.exe,576,416,11,369,0,0,2014-05-05 14:16:50 UTC+0000,
0xfffffa8004a9bb30,svchost.exe,656,416,8,287,0,0,2014-05-05 14:16:51 UTC+0000,
0xfffffa8004b645f0,svchost.exe,744,416,19,478,0,0,2014-05-05 14:16:52 UTC+0000,
0xfffffa8004ba4b30,svchost.exe,784,416,27,647,0,0,2014-05-05 14:16:52 UTC+0000,
0xfffffa8004ba6b30,svchost.exe,812,416,15,340,0,0,2014-05-05 14:16:52 UTC+0000,
0xfffffa8004b68b30,svchost.exe,836,416,37,1139,0,0,2014-05-05 14:16:52 UTC+0000,
0xfffffa8002ba33a0,audiodg.exe,928,744,5,122,0,0,2014-05-05 14:16:54 UTC+0000,
0xfffffa8004c52b30,svchost.exe,464,416,14,364,0,0,2014-05-05 14:16:58 UTC+0000,
0xfffffa8002ae85b0,dwm.exe,1120,784,5,106,1,0,2014-05-05 14:17:04 UTC+0000,
0xfffffa8004cc9b30,spoolsv.exe,1180,416,12,287,0,0,2014-05-05 14:17:05 UTC+0000,
0xfffffa8004ca5a90,explorer.exe,1212,1112,23,819,1,0,2014-05-05 14:17:05 UTC+0000,
0xfffffa8004cc6b30,svchost.exe,1252,416,12,212,0,0,2014-05-05 14:17:06 UTC+0000,
0xfffffa8002e93b30,svchost.exe,1280,416,18,314,0,0,2014-05-05 14:17:06 UTC+0000,
0xfffffa8004e09b30,armsvc.exe,1396,416,4,71,0,1,2014-05-05 14:17:06 UTC+0000,
0xfffffa8004e20b30,taskhost.exe,1404,416,8,175,1,0,2014-05-05 14:17:06 UTC+0000,
0xfffffa8004e0bb30,AppleMobileDev,1528,416,4,139,0,1,2014-05-05 14:17:09 UTC+0000,
0xfffffa8004f35950,igfxtray.exe,1592,1212,4,84,1,0,2014-05-05 14:17:11 UTC+0000,
0xfffffa8004ef5b30,hkcmd.exe,1604,1212,4,85,1,0,2014-05-05 14:17:11 UTC+0000,
0xfffffa8004f519e0,igfxpers.exe,1652,1212,4,94,1,0,2014-05-05 14:17:11 UTC+0000,
0xfffffa8004f87b30,CodeMeterCC.ex,1748,1212,4,301,1,1,2014-05-05 14:17:11 UTC+0000,
0xfffffa8004a02b30,igfxsrvc.exe,1768,576,5,76,1,0,2014-05-05 14:17:11 UTC+0000,
0xfffffa8004a4d400,mDNSResponder.,1788,416,4,124,0,1,2014-05-05 14:17:11 UTC+0000,
