Name,PID,ProcessName
EFS,460,lsass.exe
KeyIso,460,lsass.exe
SamSs,460,lsass.exe
DcomLaunch,576,svchost.exe
PlugPlay,576,svchost.exe
Power,576,svchost.exe
RpcEptMapper,656,svchost.exe
RpcSs,656,svchost.exe
AudioSrv,744,svchost.exe
Dhcp,744,svchost.exe
eventlog,744,svchost.exe
lmhosts,744,svchost.exe
wscsvc,744,svchost.exe
AudioEndpointBuilder,784,svchost.exe
CsvService,784,svchost.exe
Netman,784,svchost.exe
PcaSvc,784,svchost.exe
SysMain,784,svchost.exe
TrkWks,784,svchost.exe
UxSms,784,svchost.exe
Wlansvc,784,svchost.exe
wudfsvc,784,svchost.exe
EventSystem,812,svchost.exe
FontCache,812,svchost.exe
netprofm,812,svchost.exe
nsi,812,svchost.exe
W32Time,812,svchost.exe
WdiServiceHost,812,svchost.exe
AeLookupSvc,836,svchost.exe
Appinfo,836,svchost.exe
BITS,836,svchost.exe
CertPropSvc,836,svchost.exe
EapHost,836,svchost.exe
gpsvc,836,svchost.exe
iphlpsvc,836,svchost.exe
LanmanServer,836,svchost.exe
ProfSvc,836,svchost.exe
Schedule,836,svchost.exe
SENS,836,svchost.exe
ShellHWDetection,836,svchost.exe
Themes,836,svchost.exe
Winmgmt,836,svchost.exe
wuauserv,836,svchost.exe
CryptSvc,464,svchost.exe
Dnscache,464,svchost.exe
LanmanWorkstation,464,svchost.exe
NlaSvc,464,svchost.exe
Spooler,1180,spoolsv.exe
FDResPub,1252,svchost.exe
SCardSvr,1252,svchost.exe
SSDPSRV,1252,svchost.exe
BFE,1280,svchost.exe
DPS,1280,svchost.exe
MpsSvc,1280,svchost.exe
AdobeARMservice,1396,armsvc.exe
Apple Mobile Device,1528,AppleMobileDeviceService.exe
Bonjour Service,1788,mDNSResponder.exe
postgresql-x64-9.0,1040,pg_ctl.exe
stisvc,1204,svchost.exe
Vmware NAT Service,1072,vmnat.exe
VMnetDHCP,2060,vmnetdhcp.exe
VMUSBArbService,2100,vmware-usbarbitrator64.exe
CodeMeter.exe,2120,CodeMeter.exe
VMAuthdService,2196,vmware-authd.exe
VMwareHostd,2560,vmware-hostd.exe
WSearch,2760,SearchIndexer.exe
WinDefend,4088,svchost.exe
