0 fffffa8002cbcca0		 (R-D)  (File)	 \Windows\System32\wdi\LogFiles\WdiContextLog.etl.001 
0 fffffa8002a802a0		 (RWD)  (File)	 \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa8002a1b8b0		 (---)  (File)	   
0 fffffa80041f48f0		 (---)  (File)	   
0 fffffa8002be0b50		 (R--)  (File)	 \Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms 
0 fffffa8002aab9a0		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLog.blf 
0 fffffa8002939050		 (R-D)  (File)	 \Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl 
0 fffffa8002a833d0		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001 
0 fffffa80028f6dd0		 (R--)  (File)	 TxfLog 
0 fffffa8002aad270		 (RWD)  (File)	   
0 fffffa8002a852c0		 (RW-)  (File)	 KtmLog 
0 fffffa8002abf820		 (RWD)  (File)	 \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa8002abe450		 (RWD)  (File)	 \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa800293be00		 (RW-)  (File)	 KtmLog 
0 fffffa800293c330		 (RWD)  (File)	 \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa800293c6a0		 (RWD)  (File)	 \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa8002936520		 (RWD)  (File)	 \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog 
0 fffffa800281bf20		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000003 
0 fffffa80028c5f20		 (RWD)  (File)	   
0 fffffa8002937830		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001 
0 fffffa8002810720		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLog.blf 
0 fffffa800289c960		 (R--)  (File)	 TxfLog 
0 fffffa8002a821e0		 (---)  (File)	 \Windows\System32\config\SYSTEM 
0 fffffa8002a81780		 (R--)  (File)	 \$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002 
0 fffffa8002ac4450		 (---)  (File)	 \Windows\System32\config\RegBack\SOFTWARE 
0 fffffa8002acee60		 (---)  (File)	 \Windows\System32\config\DEFAULT.LOG1 
0 fffffa8002e45600		 (---)  (File)	 \Windows\System32\config\RegBack\SAM 
0 fffffa8002a82bf0		 (---)  (File)	 \Windows\System32\config\DEFAULT 
0 fffffa8002aa9330		 (---)  (File)	 \Windows\System32\config\SOFTWARE 
0 fffffa8002ac0510		 (---)  (File)	 \Windows\System32\config\SECURITY 
0 fffffa8002a81650		 (---)  (File)	 \Windows\System32\config\SAM 
0 fffffa80029109c0		 (---)  (File)	 \Windows\System32\config\RegBack\DEFAULT 
0 fffffa8002aca220		 (---)  (File)	 \Windows\System32\config\SECURITY.LOG1 
0 fffffa8002a85af0		 (---)  (File)	 \Windows\System32\config\SOFTWARE.LOG1 
0 fffffa8002934730		 (---)  (File)	 \Windows\System32\config\SECURITY.LOG2 
0 fffffa8002acda20		 (---)  (File)	 \Windows\System32\config\SYSTEM.LOG1 
0 fffffa8002aca520		 (---)  (File)	 \Windows\System32\config\SAM.LOG1 
0 fffffa8002ad1630		 (---)  (File)	 \Windows\System32\config\SYSTEM.LOG2 
0 fffffa80029368c0		 (---)  (File)	 \Windows\System32\config\SAM.LOG2 
0 fffffa8002a859c0		 (---)  (File)	 \Windows\System32\config\SOFTWARE.LOG2 
0 fffffa800289cf20		 (---)  (File)	 \Windows\System32\config\DEFAULT.LOG2 
0 fffffa8002ac4850		 (---)  (File)	 \Windows\System32\config\RegBack\SECURITY 
0 fffffa8002ac12e0		 (R-D)  (File)	 \Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl 
0 fffffa80028109d0		 (---)  (File)	 \Windows\System32\config\RegBack\SYSTEM 
